2025-05-15 22:52:29,094 [INFO] [root.run_etl_player_hero_match_trends_from_db] Starting function tests
2025-05-15 22:52:29,099 [INFO] [root.test_pull_trend_players_from_db] Pulled 25 players to trend
2025-05-15 22:52:29,099 [INFO] [root.run_etl_player_hero_match_trends_from_db] Time passed = 0.00seconds. Processed Pandas(Index=0, account_id=1465196567) of 25 players
2025-05-15 22:52:29,099 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=0, account_id=1465196567) of 25
2025-05-15 22:52:29,131 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=1, account_id=136024220) of 25
2025-05-15 22:52:29,143 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=2, account_id=1716124084) of 25
2025-05-15 22:52:29,149 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=3, account_id=429795010) of 25
2025-05-15 22:52:29,158 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=4, account_id=24826186) of 25
2025-05-15 22:52:29,165 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=5, account_id=1150831835) of 25
2025-05-15 22:52:29,174 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=6, account_id=364698744) of 25
2025-05-15 22:52:29,179 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=7, account_id=233893017) of 25
2025-05-15 22:52:29,186 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=8, account_id=1173747068) of 25
2025-05-15 22:52:29,194 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=9, account_id=197865966) of 25
2025-05-15 22:52:29,203 [INFO] [root.run_etl_player_hero_match_trends_from_db] Time passed = 0.11seconds. Processed Pandas(Index=10, account_id=79450906) of 25 players
2025-05-15 22:52:29,203 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=10, account_id=79450906) of 25
2025-05-15 22:52:29,210 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=11, account_id=392086095) of 25
2025-05-15 22:52:29,219 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=12, account_id=1477660209) of 25
2025-05-15 22:52:29,228 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=13, account_id=103772579) of 25
2025-05-15 22:52:29,235 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=14, account_id=294780673) of 25
2025-05-15 22:52:29,241 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=15, account_id=1062898121) of 25
2025-05-15 22:52:29,252 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=16, account_id=1599940693) of 25
2025-05-15 22:52:29,258 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=17, account_id=130174860) of 25
2025-05-15 22:52:29,268 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=18, account_id=272697072) of 25
2025-05-15 22:52:29,276 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=19, account_id=59536063) of 25
2025-05-15 22:52:29,283 [INFO] [root.run_etl_player_hero_match_trends_from_db] Time passed = 0.19seconds. Processed Pandas(Index=20, account_id=1269968966) of 25 players
2025-05-15 22:52:29,283 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=20, account_id=1269968966) of 25
2025-05-15 22:52:29,292 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=21, account_id=1303034426) of 25
2025-05-15 22:52:29,298 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=22, account_id=858544160) of 25
2025-05-15 22:52:29,308 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=23, account_id=115965224) of 25
2025-05-15 22:52:29,315 [DEBUG] [root.run_etl_player_hero_match_trends_from_db] Processing player Pandas(Index=24, account_id=106189806) of 25
