match_id,team_0_win,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff
38791717,Y,-7758.0,-12780.0,-8333.917,-3417.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38791906,Y,-4103.0,19738.0,6007.85,9239.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38792147,N,-3443.0,-40064.0,-14222.0,-18222.002,-1.0,-4.0,-2.0,,-2.0,-37.0,-15.333,,23.0,-28.0,5.0,,-1.0,-65.0,-25.0,,134.386,-33.233,64.764,,1588.0,-11373.0,-3309.333,,-0.427,-1.816,-1.029,,2.154,1.176,1.741,,0.589,-2.725,-0.634,,0.049,-0.072,-0.008,,0.169,-3.343,-1.201,,-0.377,-1.221,-0.736,
38792274,N,-789.0,-8006.0,-1387.0,-3171.606,1.0,0.0,0.5,,50.0,40.0,45.0,,23.0,23.0,23.0,,89.0,79.0,84.0,,398.976,178.973,288.975,,10176.0,9961.0,10068.5,,0.952,0.237,0.595,,-0.041,-1.098,-0.57,,2.476,2.439,2.458,,0.406,0.163,0.285,,2.909,2.564,2.737,,-0.487,-1.758,-1.122,
38792444,Y,-6430.0,-11486.0,-9567.667,-5303.913,-11.0,-9.0,-10.0,,-97.0,-81.0,-90.75,,-128.0,-101.0,-119.5,,-252.0,-233.0,-241.25,,-68.928,126.043,67.628,,-31532.0,-26454.0,-29587.0,,-0.362,9.709,3.87,,-1.226,1.477,-0.02,,-7.731,-6.194,-7.197,,-0.253,0.106,-0.033,,-10.085,-9.176,-9.635,,-1.25,0.644,-0.255,
38792524,Y,-3163.0,-31080.0,-11943.0,-9759.693,2.0,-6.0,-1.0,,8.0,-149.0,-30.333,,3.0,-67.0,-19.0,,7.0,-101.0,-24.5,,414.719,181.185,271.943,,1808.0,-23731.0,-6029.0,,1.559,-0.167,0.603,,0.23,-1.467,-0.154,,0.508,-5.381,-1.388,,0.416,0.011,0.272,,0.297,-5.374,-1.249,,2.189,0.092,1.095,
38792642,N,2114.0,-2583.0,3712.25,-1841.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38792810,N,4249.0,-10276.0,156.333,-7354.625,-2.0,-2.0,-2.0,,-33.0,-33.0,-33.0,,-15.0,-15.0,-15.0,,19.0,19.0,19.0,,-268.094,-268.094,-268.094,,103.0,103.0,103.0,,-0.223,-0.223,-0.223,,0.107,0.107,0.107,,-0.215,-0.215,-0.215,,-0.221,-0.221,-0.221,,0.078,0.078,0.078,,-0.265,-0.265,-0.265,
38792902,N,-1685.0,-145.0,-1905.95,11.034,1.0,-1.0,0.0,,13.0,-33.0,-4.333,,4.0,-34.0,-17.0,,-3.0,-51.0,-20.333,,35.209,-222.115,-127.487,,-1496.0,-11060.0,-5667.333,,2.222,-0.644,0.944,,0.159,-3.801,-1.387,,-0.575,-2.95,-1.547,,0.047,-0.179,-0.087,,-0.031,-2.648,-0.943,,1.759,0.973,1.387,
38793110,Y,-9850.0,-16656.0,-8252.75,-4122.911,3.0,-7.0,-2.0,,109.0,23.0,66.0,,27.0,-85.0,-29.0,,57.0,-180.0,-61.5,,453.318,229.774,341.546,,8582.0,-18692.0,-5055.0,,2.05,1.9,1.975,,-0.783,-1.735,-1.259,,1.767,-4.817,-1.525,,0.478,0.444,0.461,,3.033,-6.385,-1.676,,0.602,-0.149,0.226,
38793219,Y,1827.0,-15550.0,-8127.967,-5755.699,0.0,0.0,0.0,,-1.0,-1.0,-1.0,,-4.0,-4.0,-4.0,,-16.0,-16.0,-16.0,,428.612,428.612,428.612,,-906.0,-906.0,-906.0,,1.381,1.381,1.381,,-0.619,-0.619,-0.619,,-0.288,-0.288,-0.288,,0.347,0.347,0.347,,-0.669,-0.669,-0.669,,0.796,0.796,0.796,
38793653,Y,-6227.0,-7485.0,-7732.45,219.369,2.0,0.0,1.0,,7.0,-25.0,-9.0,,29.0,9.0,19.0,,61.0,44.0,52.5,,-245.343,-447.621,-346.482,,7673.0,2025.0,4849.0,,-0.818,-1.138,-0.978,,2.732,2.426,2.579,,1.824,0.541,1.182,,-0.216,-0.492,-0.354,,2.267,1.205,1.736,,-0.392,-0.579,-0.486,
38793686,N,-3781.0,22.0,-2122.0,1628.662,-1.0,0.0,-0.5,,-14.0,-1.0,-7.5,,-12.0,-1.0,-6.5,,-37.0,-20.0,-28.5,,29.158,169.72,99.439,,-3989.0,1084.0,-1452.5,,-0.444,-0.003,-0.224,,0.134,1.508,0.821,,-1.065,0.368,-0.348,,-0.052,0.083,0.015,,-1.436,-0.567,-1.002,,-0.631,-0.171,-0.401,
38793691,N,4974.0,9347.0,11038.067,4238.014,6.0,0.0,3.333,,64.0,-20.0,27.0,,86.0,20.0,56.333,,65.0,-36.0,17.333,,320.626,-82.375,83.479,,22789.0,5904.0,13938.0,,0.062,-0.397,-0.179,,0.597,0.012,0.38,,5.942,1.835,3.69,,0.286,-0.133,0.021,,3.961,0.961,2.416,,0.331,-0.028,0.185,
38793740,Y,179.0,-1286.0,-1875.5,-1169.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38794682,Y,-6421.0,-14197.0,-9679.333,-4539.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
