hero_id,wins,losses,matches,total_kills,total_deaths,total_assists,total_net_worth,total_last_hits,total_denies,total_player_damage,total_player_damage_taken,total_boss_damage,total_creep_damage,total_neutral_damage,total_max_health,total_shots_hit,total_shots_missed,hero_pickrate,win_percentage
1,1241,1519,2760,17100,19426,22868,89034309,428599,21087,63572310,76889564,12804035,73304700,75709936,7430406,6506397,4020600,44.29,44.96
2,2015,1815,3830,23646,27557,36572,130075973,706803,25918,100453740,94272776,26688483,131887969,138437158,9948059,5792573,4065511,61.47,52.61
3,1719,1697,3416,24338,19311,35727,108924522,440627,25304,88632711,51649116,17889921,89801587,39107946,6891654,3723217,2849293,54.82,50.32
4,1523,1498,3021,18291,20373,28306,97417477,470139,19899,84952259,91920030,20594234,100422754,62883369,9209649,1895786,937489,48.48,50.41
6,1399,1378,2777,18714,21128,25802,85841587,375133,21065,60605802,88606807,16359362,76360684,50879610,7939884,7732384,5444852,44.57,50.38
7,1597,1555,3152,20767,18480,25629,106707121,539019,30002,75372667,63773197,35622317,96595323,92784958,7861073,11587859,8640179,50.59,50.67
8,316,326,642,2660,4587,6068,20209679,96403,5633,12227080,17703455,6062140,19110335,12470677,1765402,1689821,1406286,10.3,49.22
10,2058,1955,4013,22812,25514,47106,123942492,534949,30706,97368432,87438387,23132133,104449748,56073734,10604614,5850125,4922377,64.4,51.28
11,730,783,1513,5876,10285,17174,45526968,189425,9653,24328666,41432865,6285391,39767168,18034407,4075233,1093746,762225,24.28,48.25
12,713,738,1451,6578,9249,16086,41391184,169228,11179,25162478,44985214,6325447,34098118,14179301,4320338,878173,594902,23.29,49.14
13,1276,1491,2767,19353,19533,22127,90357263,430012,24624,63170095,58873540,16658629,69952671,80291614,6352903,8876003,5760490,44.41,46.11
14,1566,1510,3076,20960,18364,35357,96139008,421720,14299,69997658,64334697,18402091,95201664,44290244,7976084,1462577,805535,49.37,50.91
15,2108,2191,4299,29779,30311,41293,130916441,590700,30523,99744576,111883574,21184481,115548804,74869021,11813445,9088296,7662682,68.99,49.03
16,1785,1749,3534,24230,22592,30848,114150752,531716,26556,82989412,99954196,30817214,105484078,68845531,10709044,22486561,20250025,56.72,50.51
17,2038,2025,4063,30443,21864,37849,130293685,608032,24583,122309658,60790967,22796004,139095810,71907300,8630953,3980660,1935859,65.21,50.16
18,1467,1280,2747,12767,19228,33006,84710485,375819,17104,48765262,95297445,17941820,73530068,43770855,9811928,8507747,7533959,44.09,53.4
19,1609,1845,3454,27415,24011,25823,110071420,506281,26953,81702782,102547932,19482255,101106574,72982166,10015208,9828629,5936973,55.43,46.58
20,1026,985,2011,8017,12366,21096,63096595,314448,16912,39985918,49604084,17175511,63909832,34260972,5157625,5301720,4462405,32.27,51.02
25,995,951,1946,13360,14044,17496,62751491,304547,10306,50889093,50923899,16355256,62527081,39657625,5788017,2147231,1410312,31.23,51.13
27,1408,1503,2911,20734,21638,25760,92383891,424049,13158,74043502,83191551,16610218,83568597,68373897,7031276,5441435,2722309,46.72,48.37
31,2769,2607,5376,38816,34247,56969,169556271,732872,31197,137924528,116235370,24170206,149321511,90900682,13637885,5301059,4358429,86.28,51.51
35,1049,1131,2180,11105,12443,21847,66251121,300649,12495,47594340,53615003,10940135,63945708,31253652,5877085,1650996,1208510,34.99,48.12
50,1625,1627,3252,23648,20680,30545,106038379,507123,24149,99956265,60080917,19872488,106740710,70013179,6902117,8282293,5998211,52.19,49.97
52,1837,1776,3613,24346,21565,35937,116707008,530788,28520,96219587,82241343,25964438,110296494,58518849,10003530,3931241,2236824,57.98,50.84
58,805,739,1544,12621,10979,11079,50272571,235911,13362,36926765,36458986,16669443,40477209,40313712,3805382,5864062,4598262,24.78,52.14
60,712,712,1424,8276,8648,14552,43562855,191759,6545,32374075,32564746,8315105,42314579,16603660,3634889,1006472,864483,22.85,50.0
