feature,importance_mean,importance_std
ph_win_rate_ratio_min_diff,0.06179775280898876,0.021318725798887956
ph_win_rate_ratio_max_diff,0.025842696629213503,0.014906178833057965
ph_damage_per_min_median_diff,0.02247191011235956,0.007945020013331966
ph_time_played_median_diff,0.016853932584269704,0.005024871859550101
ph_time_played_min_diff,0.016853932584269704,0.005024871859550101
ph_win_rate_ratio_median_diff,0.01685393258426966,0.018462558118151666
ph_total_kd_q75_diff,0.01685393258426966,0.010049743719100154
ph_win_rate_ratio_q25_diff,0.014606741573033743,0.0027522356660485215
ph_assists_min_diff,0.013483146067415741,0.009128133038916795
ph_time_played_q25_diff,0.012359550561797782,0.008256706998145564
ph_damage_per_min_max_diff,0.012359550561797782,0.007453089416529006
p_total_time_played_q75_diff,0.012359550561797782,0.004204109423341517
ph_kd_ratio_median_diff,0.01123595505617978,0.011784369080563498
ph_total_kd_median_diff,0.01123595505617978,0.010049743719100165
ph_assists_max_diff,0.010112359550561823,0.005504471332097043
ph_damage_per_min_ratio_q25_diff,0.010112359550561823,0.008256706998145564
ph_kd_ratio_max_diff,0.010112359550561823,0.006551631342522826
ph_deaths_q75_diff,0.008988764044943842,0.005729235408531233
ph_damage_per_min_ratio_median_diff,0.008988764044943842,0.006741573033707882
ph_total_kd_min_diff,0.008988764044943842,0.007620595486657623
ph_wins_min_diff,0.008988764044943842,0.005729235408531233
ph_wins_median_diff,0.007865168539325862,0.006741573033707882
ph_wins_q25_diff,0.007865168539325862,0.005729235408531233
ph_total_kd_q25_diff,0.007865168539325862,0.008408218846683035
ph_kills_max_diff,0.006741573033707882,0.004204109423341517
ph_wins_max_diff,0.006741573033707882,0.004204109423341517
ph_wins_q75_diff,0.006741573033707882,0.005504471332097044
ph_kills_min_diff,0.005617977528089901,0.009400674455439073
ph_time_played_ratio_min_diff,0.005617977528089901,0.0
Unnamed: 0,0.005617977528089901,0.007945020013332015
ph_assists_ratio_min_diff,0.005617977528089901,0.006154186039383903
ph_damage_per_min_ratio_q75_diff,0.004494382022471921,0.005504471332097043
ph_assists_ratio_median_diff,0.004494382022471921,0.004204109423341517
ph_damage_per_min_ratio_min_diff,0.004494382022471921,0.008988764044943844
match_id,0.003370786516853941,0.009128133038916832
ph_deaths_median_diff,0.003370786516853941,0.006741573033707882
p_total_time_played_max_diff,0.003370786516853941,0.004494382022471922
ph_deaths_max_diff,0.003370786516853941,0.009795278524810526
p_total_time_played_median_diff,0.003370786516853941,0.004494382022471921
ph_kills_median_diff,0.0022471910112359605,0.005729235408531233
ph_assists_q25_diff,0.0022471910112359605,0.004494382022471922
ph_kd_ratio_q75_diff,0.0022471910112359605,0.002752235666048521
ph_kills_q25_diff,0.0022471910112359605,0.007620595486657623
p_total_time_played_min_diff,0.0011235955056179802,0.008988764044943842
ph_damage_per_min_q75_diff,0.0011235955056179802,0.005504471332097043
ph_assists_ratio_q75_diff,0.0011235955056179802,0.005504471332097043
ph_deaths_min_diff,0.0,0.006154186039383903
ph_damage_per_min_ratio_max_diff,0.0,0.005024871859550101
ph_assists_median_diff,0.0,0.005024871859550101
ph_damage_per_min_min_diff,0.0,0.006154186039383904
ph_assists_q75_diff,-0.0011235955056179802,0.0022471910112359605
p_total_time_played_q25_diff,-0.0011235955056179802,0.004204109423341517
ph_total_kd_max_diff,-0.0022471910112359605,0.0027522356660485215
ph_deaths_q25_diff,-0.0022471910112359605,0.004494382022471922
ph_damage_per_min_q25_diff,-0.0022471910112359605,0.005729235408531233
ph_time_played_ratio_q75_diff,-0.003370786516853941,0.006741573033707882
ph_kills_q75_diff,-0.004494382022471921,0.004204109423341517
ph_time_played_max_diff,-0.004494382022471921,0.008256706998145564
ph_time_played_ratio_max_diff,-0.005617977528089901,0.007106241932962667
ph_time_played_q75_diff,-0.005617977528089901,0.005024871859550101
ph_assists_ratio_q25_diff,-0.006741573033707882,0.006551631342522826
ph_time_played_ratio_q25_diff,-0.006741573033707882,0.004204109423341517
ph_time_played_ratio_median_diff,-0.006741573033707882,0.004204109423341517
ph_kd_ratio_q25_diff,-0.007865168539325862,0.004494382022471921
ph_kd_ratio_min_diff,-0.008988764044943842,0.01041979606235475
ph_assists_ratio_max_diff,-0.011235955056179803,0.007106241932962667
ph_win_rate_ratio_q75_diff,-0.014606741573033677,0.009795278524810472
