feature_group,importance_mean,importance_std,num_features,features
ph_win_rate,0.1955056179775281,0.027841599310930033,5,"ph_win_rate_ratio_min_diff, ph_win_rate_ratio_max_diff, ph_win_rate_ratio_q25_diff, ph_win_rate_ratio_median_diff, ph_win_rate_ratio_q75_diff"
ph_total_kd,0.02696629213483146,0.007453089416528964,5,"ph_total_kd_min_diff, ph_total_kd_max_diff, ph_total_kd_q25_diff, ph_total_kd_median_diff, ph_total_kd_q75_diff"
ph_wins,0.01460674157303372,0.008408218846683,5,"ph_wins_min_diff, ph_wins_max_diff, ph_wins_q25_diff, ph_wins_median_diff, ph_wins_q75_diff"
ph_damage_per_min,0.0146067415730337,0.01357645615010624,10,"ph_damage_per_min_min_diff, ph_damage_per_min_max_diff, ph_damage_per_min_q25_diff, ph_damage_per_min_median_diff, ph_damage_per_min_q75_diff, ph_damage_per_min_ratio_min_diff, ph_damage_per_min_ratio_max_diff, ph_damage_per_min_ratio_q25_diff, ph_damage_per_min_ratio_median_diff, ph_damage_per_min_ratio_q75_diff"
ph_kd,0.012359550561797782,0.008256706998145564,5,"ph_kd_ratio_min_diff, ph_kd_ratio_max_diff, ph_kd_ratio_q25_diff, ph_kd_ratio_median_diff, ph_kd_ratio_q75_diff"
ph_deaths,0.005617977528089879,0.01704016953719451,5,"ph_deaths_min_diff, ph_deaths_max_diff, ph_deaths_q25_diff, ph_deaths_median_diff, ph_deaths_q75_diff"
ph_time_played,0.004494382022471899,0.013483146067415724,10,"ph_time_played_min_diff, ph_time_played_max_diff, ph_time_played_q25_diff, ph_time_played_median_diff, ph_time_played_q75_diff, ph_time_played_ratio_min_diff, ph_time_played_ratio_max_diff, ph_time_played_ratio_q25_diff, ph_time_played_ratio_median_diff, ph_time_played_ratio_q75_diff"
p_total_time_played,-0.0011235955056179802,0.008256706998145564,5,"p_total_time_played_min_diff, p_total_time_played_max_diff, p_total_time_played_q25_diff, p_total_time_played_median_diff, p_total_time_played_q75_diff"
ph_kills,-0.003370786516853941,0.008408218846683035,5,"ph_kills_min_diff, ph_kills_max_diff, ph_kills_q25_diff, ph_kills_median_diff, ph_kills_q75_diff"
ph_assists,-0.01123595505617978,0.010659362899443966,10,"ph_assists_min_diff, ph_assists_max_diff, ph_assists_q25_diff, ph_assists_median_diff, ph_assists_q75_diff, ph_assists_ratio_min_diff, ph_assists_ratio_max_diff, ph_assists_ratio_q25_diff, ph_assists_ratio_median_diff, ph_assists_ratio_q75_diff"
