Unnamed: 0,match_id,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_q25_diff,p_total_time_played_median_diff,p_total_time_played_q75_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_q25_diff,ph_wins_median_diff,ph_wins_q75_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_q25_diff,ph_kills_median_diff,ph_kills_q75_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_q25_diff,ph_deaths_median_diff,ph_deaths_q75_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_q25_diff,ph_assists_median_diff,ph_assists_q75_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_q25_diff,ph_damage_per_min_median_diff,ph_damage_per_min_q75_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_q25_diff,ph_time_played_median_diff,ph_time_played_q75_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_q25_diff,ph_total_kd_median_diff,ph_total_kd_q75_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_q25_diff,ph_kd_ratio_median_diff,ph_kd_ratio_q75_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_q25_diff,ph_time_played_ratio_median_diff,ph_time_played_ratio_q75_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_q25_diff,ph_damage_per_min_ratio_median_diff,ph_damage_per_min_ratio_q75_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_q25_diff,ph_assists_ratio_median_diff,ph_assists_ratio_q75_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_q25_diff,ph_win_rate_ratio_median_diff,ph_win_rate_ratio_q75_diff,target
571,38721421,344828,-1695229,195411.25,224802.0,-964072.75,11,25,17.75,-17.0,-12.75,203,-1029,93.5,-128.5,-598.75,103,-165,375.0,-77.5,-548.75,256,2009,373.0,-145.0,533.25,-239.91,94.13,-174.68,52.38,45.28,42795,125314,60077.0,-38527.5,-14787.5,-0.44,0.1,-0.09,-0.18,-0.14,-0.04,0.81,0.0,0.05,0.04,0.63,2.34,0.5,-0.35,0.23,-0.16,0.01,-0.05,0.04,0.07,0.67,3.17,0.35,-0.34,0.36,-0.12,-0.21,-0.12,-0.11,-0.12,N
707,38735600,153612,2541930,407584.75,357830.0,1069038.0,14,304,35.5,-22.0,-40.5,327,596,590.0,-291.0,388.0,171,5339,352.5,-234.0,167.25,361,12049,747.75,-501.5,647.0,-270.92,14.29,109.88,160.66,-17.26,59038,1181126,119497.25,-100587.5,-66153.0,-0.21,-0.38,0.17,0.18,-0.2,0.1,0.17,-0.0,-0.12,-0.09,0.3,15.68,1.19,-2.56,1.11,-0.18,-0.12,0.01,-0.0,-0.06,0.28,19.87,1.39,-2.46,1.21,-0.09,-0.41,-0.07,-0.06,-0.34,N
548,38719367,597574,-159443,-258089.0,-557871.0,-565157.5,22,-374,40.0,61.0,142.75,321,-4671,53.0,37.0,1537.5,165,-2890,35.5,110.5,574.75,239,-4677,733.75,1770.5,2877.0,-310.21,-148.32,-214.99,-217.85,-147.19,66436,-1165158,52760.75,168814.0,566178.75,-0.1,0.11,-0.4,0.03,0.48,0.03,0.18,-0.04,0.04,0.05,0.61,-6.92,0.27,2.08,9.08,-0.23,-0.0,-0.14,-0.09,-0.02,0.52,-7.67,0.64,2.79,8.23,0.02,0.22,0.03,0.07,0.21,Y
176,38673339,-154190,6958,-1106223.0,-1011624.5,-384855.25,26,-359,8.5,23.5,-152.0,280,-4759,-194.5,101.5,-1399.5,57,263,-140.75,111.0,-412.75,264,-10657,290.75,373.0,-3068.25,122.06,224.17,250.7,160.13,126.65,62709,-1386112,-30220.75,46780.5,-405804.5,-0.21,-0.7,0.04,-0.03,-0.18,0.34,0.36,0.15,-0.07,-0.09,0.53,-16.67,-0.11,0.29,-5.24,0.04,0.01,0.12,0.08,0.02,0.38,-16.83,-0.3,0.73,-4.9,-0.02,0.03,0.17,0.16,0.16,Y
291,38690827,712620,-1352722,417498.5,242878.0,-198106.5,1,-345,16.5,93.0,109.5,-6,-7131,191.5,1111.5,1368.5,11,-3511,170.0,715.0,930.75,-46,-4571,51.75,1457.5,2003.0,89.14,107.33,-37.1,-34.17,-31.49,4807,-1202129,40638.5,281147.0,308229.5,0.37,0.3,-0.17,-0.18,-0.16,-0.13,-0.66,0.04,0.01,-0.08,-0.03,1.41,0.09,1.85,2.74,-0.03,0.02,-0.06,0.02,0.04,-0.14,1.45,0.12,1.62,2.94,0.11,0.01,0.02,0.04,0.05,N
645,38727783,-1541585,7765,-1979309.0,-1941206.0,-1196693.0,-3,-412,1.0,-119.5,-257.25,-65,-7213,-4.25,-1418.0,-3241.25,-63,-3102,-47.0,-1483.5,-2633.5,-159,-8460,-53.25,-2270.0,-5650.75,-20.94,121.18,38.8,7.26,79.72,-17339,-1519500,-19091.25,-445521.0,-852899.25,-0.04,0.6,-0.17,-0.2,0.16,-0.11,0.77,0.06,0.28,0.66,-0.14,-13.36,-0.12,-4.18,-8.85,-0.07,0.15,-0.22,-0.12,0.04,-0.2,-14.73,0.11,-3.95,-9.76,-0.09,0.11,0.1,0.02,-0.02,N
478,38711655,-473861,-1538347,-835550.0,-1730295.5,-1808357.75,-8,-166,-34.0,-88.5,-299.0,-222,-1218,-498.75,-1505.5,-5448.5,-204,-1527,-319.75,-1009.5,-3140.75,-377,-6024,-615.0,-1894.0,-3734.0,152.66,177.18,120.0,129.98,34.91,-48407,-701959,-109741.25,-342691.0,-970599.0,-0.07,-0.11,-0.16,-0.08,-0.09,-0.1,0.05,0.1,0.02,-0.04,-0.96,-6.74,-1.42,-2.98,-6.05,-0.02,-0.1,0.01,0.13,0.15,-1.1,-6.02,-1.24,-3.68,-5.17,-0.12,0.27,-0.06,0.11,0.17,Y
547,38719315,429773,195090,-178201.0,185496.5,219736.25,11,-112,116.75,175.0,36.75,274,266,2178.0,2971.0,3706.25,121,1027,1524.0,1832.5,1303.25,255,-2230,1704.5,3453.0,163.75,222.11,340.69,241.72,281.01,347.54,39912,-435288,391308.75,622133.0,255958.75,0.03,0.68,0.37,0.43,0.56,-0.25,-0.05,-0.24,-0.08,-0.1,0.22,-1.14,3.0,4.5,-0.12,0.35,0.24,0.17,0.19,0.31,0.35,-2.21,3.19,5.59,0.15,0.18,-0.19,0.11,-0.06,-0.13,Y
664,38729362,162745,2119994,260695.0,-114661.5,410474.75,28,538,132.0,194.0,381.25,483,6917,1524.75,2040.5,2514.25,291,6383,1353.5,1830.5,4049.75,513,13732,2248.25,3762.5,9342.5,-415.92,-103.12,-173.96,-87.47,-73.48,100278,2167199,426975.5,613493.0,1197926.0,0.06,-0.44,0.01,-0.28,-0.29,-0.09,-0.75,-0.09,-0.06,-0.06,0.91,15.78,3.8,7.91,11.5,-0.11,-0.01,-0.09,-0.02,-0.04,0.93,16.05,4.29,8.29,11.42,0.04,0.05,0.07,0.07,0.06,N
163,38671461,728607,162050,-79257.75,260915.0,292546.75,2,-394,-1.5,29.5,-259.75,90,-8347,223.25,303.0,-3265.25,95,-4389,198.75,305.0,19.0,136,-9625,213.5,446.5,-5191.5,201.8,-28.79,59.35,-81.26,-77.64,35836,-1219105,47716.0,92810.0,-1027457.25,0.35,-1.17,-0.36,-0.44,-1.05,0.33,-0.12,0.4,0.33,0.2,0.59,-15.68,0.67,1.44,-12.51,-0.08,-0.06,-0.1,-0.14,-0.11,0.51,-14.83,0.53,1.19,-11.74,-0.09,-0.26,-0.17,-0.19,-0.14,N
