feature_group,importance_mean,importance_std,num_features,features
ph_win_rate,0.21348314606741572,0.02302685565384181,8,"ph_win_rate_ratio_min_Team0, ph_win_rate_ratio_min_Team1, ph_win_rate_ratio_max_Team0, ph_win_rate_ratio_max_Team1, ph_win_rate_ratio_mean_Team0, ph_win_rate_ratio_mean_Team1, ph_win_rate_ratio_std_Team0, ph_win_rate_ratio_std_Team1"
ph_deaths,0.025842696629213503,0.011568123753917954,8,"ph_deaths_min_Team0, ph_deaths_min_Team1, ph_deaths_max_Team0, ph_deaths_max_Team1, ph_deaths_mean_Team0, ph_deaths_mean_Team1, ph_deaths_std_Team0, ph_deaths_std_Team1"
ph_wins,0.024719101123595523,0.01900172418571659,8,"ph_wins_min_Team0, ph_wins_min_Team1, ph_wins_max_Team0, ph_wins_max_Team1, ph_wins_mean_Team0, ph_wins_mean_Team1, ph_wins_std_Team0, ph_wins_std_Team1"
ph_kd,0.023595505617977564,0.009665534007913052,8,"ph_kd_ratio_min_Team0, ph_kd_ratio_min_Team1, ph_kd_ratio_max_Team0, ph_kd_ratio_max_Team1, ph_kd_ratio_mean_Team0, ph_kd_ratio_mean_Team1, ph_kd_ratio_std_Team0, ph_kd_ratio_std_Team1"
ph_total_kd,0.022471910112359585,0.0142124838659253,8,"ph_total_kd_min_Team0, ph_total_kd_min_Team1, ph_total_kd_max_Team0, ph_total_kd_max_Team1, ph_total_kd_mean_Team0, ph_total_kd_mean_Team1, ph_total_kd_std_Team0, ph_total_kd_std_Team1"
ph_kills,0.022471910112359585,0.007106241932962633,8,"ph_kills_min_Team0, ph_kills_min_Team1, ph_kills_max_Team0, ph_kills_max_Team1, ph_kills_mean_Team0, ph_kills_mean_Team1, ph_kills_std_Team0, ph_kills_std_Team1"
ph_damage_per_min,0.02247191011235956,0.018462558118151666,16,"ph_damage_per_min_min_Team0, ph_damage_per_min_min_Team1, ph_damage_per_min_max_Team0, ph_damage_per_min_max_Team1, ph_damage_per_min_mean_Team0, ph_damage_per_min_mean_Team1, ph_damage_per_min_std_Team0, ph_damage_per_min_std_Team1, ph_damage_per_min_ratio_min_Team0, ph_damage_per_min_ratio_min_Team1, ph_damage_per_min_ratio_max_Team0, ph_damage_per_min_ratio_max_Team1, ph_damage_per_min_ratio_mean_Team0, ph_damage_per_min_ratio_mean_Team1, ph_damage_per_min_ratio_std_Team0, ph_damage_per_min_ratio_std_Team1"
p_total_time_played,0.011235955056179803,0.009400674455439073,8,"p_total_time_played_min_Team0, p_total_time_played_min_Team1, p_total_time_played_max_Team0, p_total_time_played_max_Team1, p_total_time_played_mean_Team0, p_total_time_played_mean_Team1, p_total_time_played_std_Team0, p_total_time_played_std_Team1"
ph_time_played,0.00898876404494382,0.014476515423286655,16,"ph_time_played_min_Team0, ph_time_played_min_Team1, ph_time_played_max_Team0, ph_time_played_max_Team1, ph_time_played_mean_Team0, ph_time_played_mean_Team1, ph_time_played_std_Team0, ph_time_played_std_Team1, ph_time_played_ratio_min_Team0, ph_time_played_ratio_min_Team1, ph_time_played_ratio_max_Team0, ph_time_played_ratio_max_Team1, ph_time_played_ratio_mean_Team0, ph_time_played_ratio_mean_Team1, ph_time_played_ratio_std_Team0, ph_time_played_ratio_std_Team1"
ph_assists,0.005617977528089901,0.012308372078767806,16,"ph_assists_min_Team0, ph_assists_min_Team1, ph_assists_max_Team0, ph_assists_max_Team1, ph_assists_mean_Team0, ph_assists_mean_Team1, ph_assists_std_Team0, ph_assists_std_Team1, ph_assists_ratio_min_Team0, ph_assists_ratio_min_Team1, ph_assists_ratio_max_Team0, ph_assists_ratio_max_Team1, ph_assists_ratio_mean_Team0, ph_assists_ratio_mean_Team1, ph_assists_ratio_std_Team0, ph_assists_ratio_std_Team1"
