Unnamed: 0,match_id,p_total_time_played_min_Team0,p_total_time_played_min_Team1,p_total_time_played_max_Team0,p_total_time_played_max_Team1,p_total_time_played_mean_Team0,p_total_time_played_mean_Team1,p_total_time_played_std_Team0,p_total_time_played_std_Team1,ph_wins_min_Team0,ph_wins_min_Team1,ph_wins_max_Team0,ph_wins_max_Team1,ph_wins_mean_Team0,ph_wins_mean_Team1,ph_wins_std_Team0,ph_wins_std_Team1,ph_kills_min_Team0,ph_kills_min_Team1,ph_kills_max_Team0,ph_kills_max_Team1,ph_kills_mean_Team0,ph_kills_mean_Team1,ph_kills_std_Team0,ph_kills_std_Team1,ph_deaths_min_Team0,ph_deaths_min_Team1,ph_deaths_max_Team0,ph_deaths_max_Team1,ph_deaths_mean_Team0,ph_deaths_mean_Team1,ph_deaths_std_Team0,ph_deaths_std_Team1,ph_assists_min_Team0,ph_assists_min_Team1,ph_assists_max_Team0,ph_assists_max_Team1,ph_assists_mean_Team0,ph_assists_mean_Team1,ph_assists_std_Team0,ph_assists_std_Team1,ph_damage_per_min_min_Team0,ph_damage_per_min_min_Team1,ph_damage_per_min_max_Team0,ph_damage_per_min_max_Team1,ph_damage_per_min_mean_Team0,ph_damage_per_min_mean_Team1,ph_damage_per_min_std_Team0,ph_damage_per_min_std_Team1,ph_time_played_min_Team0,ph_time_played_min_Team1,ph_time_played_max_Team0,ph_time_played_max_Team1,ph_time_played_mean_Team0,ph_time_played_mean_Team1,ph_time_played_std_Team0,ph_time_played_std_Team1,ph_total_kd_min_Team0,ph_total_kd_min_Team1,ph_total_kd_max_Team0,ph_total_kd_max_Team1,ph_total_kd_mean_Team0,ph_total_kd_mean_Team1,ph_total_kd_std_Team0,ph_total_kd_std_Team1,ph_kd_ratio_min_Team0,ph_kd_ratio_min_Team1,ph_kd_ratio_max_Team0,ph_kd_ratio_max_Team1,ph_kd_ratio_mean_Team0,ph_kd_ratio_mean_Team1,ph_kd_ratio_std_Team0,ph_kd_ratio_std_Team1,ph_time_played_ratio_min_Team0,ph_time_played_ratio_min_Team1,ph_time_played_ratio_max_Team0,ph_time_played_ratio_max_Team1,ph_time_played_ratio_mean_Team0,ph_time_played_ratio_mean_Team1,ph_time_played_ratio_std_Team0,ph_time_played_ratio_std_Team1,ph_damage_per_min_ratio_min_Team0,ph_damage_per_min_ratio_min_Team1,ph_damage_per_min_ratio_max_Team0,ph_damage_per_min_ratio_max_Team1,ph_damage_per_min_ratio_mean_Team0,ph_damage_per_min_ratio_mean_Team1,ph_damage_per_min_ratio_std_Team0,ph_damage_per_min_ratio_std_Team1,ph_assists_ratio_min_Team0,ph_assists_ratio_min_Team1,ph_assists_ratio_max_Team0,ph_assists_ratio_max_Team1,ph_assists_ratio_mean_Team0,ph_assists_ratio_mean_Team1,ph_assists_ratio_std_Team0,ph_assists_ratio_std_Team1,ph_win_rate_ratio_min_Team0,ph_win_rate_ratio_min_Team1,ph_win_rate_ratio_max_Team0,ph_win_rate_ratio_max_Team1,ph_win_rate_ratio_mean_Team0,ph_win_rate_ratio_mean_Team1,ph_win_rate_ratio_std_Team0,ph_win_rate_ratio_std_Team1,target
571,38721421,490949,146121,1863994,3559223,1309390.0,1655314.5,542371.61,1380754.83,15,4,172,147,71.83,68.5,60.05,60.24,237,34,1310,2339,749.5,1028.0,449.12,948.28,145,42,1439,1604,745.33,811.5,432.88,734.05,312,56,3973,1964,1608.17,1061.5,1485.62,959.35,491.74,731.66,1154.16,1060.03,861.69,903.1,282.44,136.65,52242,9447,552621,427307,244510.83,214990.0,200271.73,191427.55,0.37,0.81,1.63,1.53,1.1,1.25,0.43,0.29,0.86,0.9,2.31,1.5,1.25,1.1,0.54,0.22,0.72,0.09,6.04,3.7,2.54,1.96,2.15,1.71,0.69,0.85,1.23,1.22,1.02,1.03,0.21,0.13,0.77,0.1,7.06,3.89,2.73,2.01,2.56,1.79,0.93,1.05,1.28,1.49,1.07,1.2,0.12,0.15,N
707,38735600,385277,231665,5080198,2538268,2430599.33,1573686.17,1722119.98,943670.71,18,4,790,486,213.83,166.83,296.7,195.03,354,27,6207,5611,2317.17,2010.67,2459.15,2279.01,202,31,9381,4042,2444.5,1462.67,3557.36,1645.18,450,89,20852,8803,5205.83,2939.0,7917.38,3444.93,459.84,730.76,1186.7,1172.41,920.19,906.68,250.6,191.09,67933,8895,2821423,1640297,781760.33,585564.83,1070790.29,676168.53,0.66,0.87,1.75,2.13,1.4,1.46,0.44,0.54,0.69,0.59,1.31,1.14,0.92,0.92,0.24,0.24,0.4,0.1,33.61,17.93,9.16,6.56,13.0,7.33,0.76,0.94,1.24,1.36,1.08,1.14,0.18,0.17,0.43,0.15,35.52,15.65,9.34,5.95,13.62,6.43,0.97,1.06,1.17,1.58,1.1,1.29,0.08,0.24,N
548,38719367,828878,231304,3227511,3386954,1888384.33,2122277.5,1098606.22,1375190.77,37,15,314,688,164.5,169.0,118.54,258.0,516,195,6114,10785,2270.33,2633.67,2359.58,4059.85,232,67,4648,7538,1559.0,1853.0,1677.6,2831.7,428,189,7430,12107,3487.17,3031.0,2770.14,4537.31,508.55,818.77,1038.46,1186.78,810.88,1016.2,213.16,158.6,98543,32107,1226939,2392097,564347.67,572411.67,490347.98,902464.27,0.92,1.01,3.02,2.91,1.67,1.65,0.83,0.65,0.54,0.51,1.4,1.22,0.89,0.85,0.3,0.25,0.96,0.35,18.09,25.02,7.54,6.05,7.4,9.41,0.72,0.95,1.21,1.22,1.02,1.12,0.19,0.1,0.93,0.4,15.88,23.56,7.39,5.99,6.61,8.78,1.03,1.02,1.5,1.28,1.22,1.11,0.2,0.1,Y
176,38673339,781368,935558,3496972,3490014,2084325.17,2665020.0,1064768.33,935575.48,40,14,347,706,141.67,223.83,119.82,283.84,538,258,4845,9604,1945.0,3023.17,1735.1,3685.77,261,204,3746,3483,1391.5,1436.5,1321.15,1330.24,650,386,6009,16666,2521.17,4787.67,2061.65,6512.4,798.21,676.15,1275.08,1050.91,1063.47,886.32,161.74,161.93,117948,55239,1142081,2528193,452141.0,759207.0,393618.62,967392.77,0.96,1.17,2.06,2.76,1.5,1.68,0.38,0.6,0.7,0.36,1.44,1.08,0.92,0.8,0.27,0.28,1.45,0.93,12.21,28.88,4.41,8.23,4.25,11.21,0.95,0.91,1.35,1.34,1.19,1.13,0.15,0.18,1.39,1.01,11.91,28.74,4.64,8.37,4.26,11.24,0.91,0.93,1.22,1.19,1.14,1.02,0.11,0.09,Y
291,38690827,1147443,434823,2539776,3892498,1926541.67,1930498.67,558055.09,1251762.5,12,11,163,508,96.33,105.0,66.92,197.58,119,125,2032,9163,1182.0,1777.83,868.48,3622.28,110,99,1650,5161,894.17,1074.0,634.32,2005.22,144,190,3342,7913,1766.83,1755.83,1361.26,3022.57,785.36,696.22,1176.3,1068.97,943.78,933.87,139.1,135.15,39665,34858,595169,1797298,312100.0,371650.33,225894.44,699198.09,0.99,0.62,2.08,1.78,1.28,1.28,0.42,0.4,0.66,0.8,1.15,1.81,1.0,1.14,0.2,0.37,0.41,0.44,15.1,13.68,4.37,3.1,5.5,5.2,0.95,0.98,1.25,1.23,1.08,1.09,0.13,0.09,0.28,0.42,15.12,13.67,4.38,3.12,5.54,5.19,1.01,0.91,1.24,1.23,1.14,1.1,0.09,0.11,N
645,38727783,299725,1841310,3227511,3219746,1318625.83,2711419.83,1120628.91,489586.19,4,7,276,688,61.67,214.33,105.29,263.4,36,101,3238,10451,781.17,3030.5,1213.81,3977.67,46,109,4248,7350,904.0,2356.83,1643.72,2807.78,68,227,4081,12541,969.0,4177.5,1532.22,4873.45,685.12,706.06,1162.49,1041.31,895.88,851.22,172.52,123.31,14346,31685,980951,2500451,218422.5,767342.67,374939.61,950080.38,0.76,0.8,2.02,1.42,1.16,1.11,0.52,0.23,0.75,0.85,2.1,1.32,1.4,1.07,0.55,0.18,0.17,0.31,10.61,23.97,2.34,7.51,4.07,9.23,0.77,0.84,1.36,1.21,1.0,1.06,0.23,0.12,0.15,0.35,8.7,23.44,2.03,7.54,3.28,9.14,0.72,0.81,1.22,1.11,0.99,0.96,0.16,0.13,N
478,38711655,152231,626092,2131421,3669768,704283.5,2011696.67,796613.66,1219322.41,10,18,337,503,89.0,211.67,127.02,217.39,84,306,6901,8119,1668.5,3564.67,2622.15,3651.32,85,289,4407,5934,1126.17,2408.0,1655.19,2429.4,131,508,4644,10668,1443.33,3897.5,1772.58,3992.9,921.7,769.05,1307.54,1130.37,1041.6,923.32,139.54,137.34,22960,71367,1088814,1790773,290885.5,732175.67,410859.62,739086.85,0.99,1.06,1.63,1.74,1.32,1.42,0.25,0.26,0.72,0.82,1.25,1.21,0.99,0.99,0.17,0.16,0.24,1.2,8.29,15.03,2.54,6.15,3.14,5.59,0.98,0.99,1.36,1.46,1.16,1.12,0.16,0.18,0.23,1.33,8.02,14.04,2.71,6.14,3.16,5.19,0.85,0.97,1.46,1.19,1.16,1.09,0.22,0.07,Y
547,38719315,658377,228604,3278754,3083664,1918505.0,1763909.67,959664.95,967975.74,18,7,314,426,179.83,123.67,102.2,173.18,344,70,6375,6109,3518.17,1460.33,2257.35,2369.92,204,83,6676,5649,2586.17,1359.33,2194.22,2188.27,362,107,5776,8006,3511.67,2658.33,2135.41,3494.27,757.97,535.86,1298.65,957.96,1052.82,765.63,185.9,136.85,60674,20762,1084087,1519375,635732.0,419539.0,367263.5,602238.33,0.86,0.83,2.89,2.21,1.59,1.17,0.69,0.52,0.42,0.67,1.32,1.37,0.9,1.04,0.31,0.23,0.56,0.34,11.34,12.47,6.17,4.68,4.01,5.49,0.91,0.56,1.51,1.27,1.22,0.97,0.22,0.23,0.69,0.34,11.24,13.45,6.78,5.1,4.19,5.88,1.05,0.87,1.16,1.35,1.08,1.1,0.04,0.19,Y
664,38729362,1094932,932187,4714217,2594223,2251600.83,1747475.83,1340651.52,654646.89,35,7,732,194,331.0,79.5,261.54,67.6,532,49,10569,3652,3916.17,1331.83,3531.48,1313.45,373,82,8501,2118,3530.67,810.83,3006.07,723.53,605,92,16781,3049,7211.33,1425.33,6344.18,1069.45,406.41,822.33,1022.05,1125.17,822.75,983.68,236.81,113.06,120807,20529,2802862,635663,1148873.0,273539.17,984526.41,226027.06,0.66,0.6,1.48,1.93,1.19,1.38,0.29,0.48,0.73,0.82,1.32,2.06,0.97,1.16,0.22,0.46,1.16,0.25,21.21,5.43,10.72,2.78,7.73,2.13,0.68,0.79,1.26,1.27,1.03,1.08,0.21,0.18,1.13,0.2,22.23,6.17,11.13,2.97,7.8,2.21,1.01,0.97,1.19,1.14,1.08,1.02,0.06,0.06,N
163,38671461,1160660,432053,4520794,4358744,2922167.67,2668346.17,1471927.11,1533221.93,12,10,422,816,173.17,290.0,170.44,367.88,219,129,7109,15456,2637.17,4622.0,2811.4,6414.0,164,69,4880,9269,1929.67,2529.17,1836.37,3524.93,300,164,7041,16666,3284.0,5872.5,3043.01,7507.4,877.95,676.15,1140.2,1168.99,956.54,949.83,108.94,189.83,59842,24006,1545653,2764758,612362.5,1006669.83,592074.84,1278598.72,0.97,0.62,1.59,2.76,1.27,1.82,0.25,0.81,0.68,0.36,1.28,1.4,1.08,0.84,0.22,0.37,0.88,0.3,13.2,28.88,5.6,10.43,4.8,13.44,0.94,1.01,1.31,1.37,1.1,1.2,0.15,0.15,0.86,0.35,13.91,28.74,5.89,10.5,5.22,13.39,0.77,0.86,1.16,1.42,0.97,1.13,0.14,0.19,N
