feature_group,importance_mean,importance_std,num_features,features
ph_win_rate,0.26629213483146064,0.026731184839034423,4,"ph_win_rate_ratio_min_diff, ph_win_rate_ratio_max_diff, ph_win_rate_ratio_mean_diff, ph_win_rate_ratio_std_diff"
p_total_time_played,0.025842696629213457,0.016891344245362823,4,"p_total_time_played_min_diff, p_total_time_played_max_diff, p_total_time_played_mean_diff, p_total_time_played_std_diff"
ph_damage_per_min,0.022471910112359515,0.01123595505617977,8,"ph_damage_per_min_min_diff, ph_damage_per_min_max_diff, ph_damage_per_min_mean_diff, ph_damage_per_min_std_diff, ph_damage_per_min_ratio_min_diff, ph_damage_per_min_ratio_max_diff, ph_damage_per_min_ratio_mean_diff, ph_damage_per_min_ratio_std_diff"
ph_kd,0.010112359550561778,0.01859881500814253,4,"ph_kd_ratio_min_diff, ph_kd_ratio_max_diff, ph_kd_ratio_mean_diff, ph_kd_ratio_std_diff"
ph_wins,0.010112359550561755,0.008256706998145511,4,"ph_wins_min_diff, ph_wins_max_diff, ph_wins_mean_diff, ph_wins_std_diff"
ph_deaths,-2.2204460492503132e-17,0.009400674455439047,4,"ph_deaths_min_diff, ph_deaths_max_diff, ph_deaths_mean_diff, ph_deaths_std_diff"
ph_kills,-0.0044943820224719435,0.010893662600935565,4,"ph_kills_min_diff, ph_kills_max_diff, ph_kills_mean_diff, ph_kills_std_diff"
ph_total_kd,-0.005617977528089924,0.012810959832574575,4,"ph_total_kd_min_diff, ph_total_kd_max_diff, ph_total_kd_mean_diff, ph_total_kd_std_diff"
ph_time_played,-0.007865168539325862,0.017622906900402364,8,"ph_time_played_min_diff, ph_time_played_max_diff, ph_time_played_mean_diff, ph_time_played_std_diff, ph_time_played_ratio_min_diff, ph_time_played_ratio_max_diff, ph_time_played_ratio_mean_diff, ph_time_played_ratio_std_diff"
ph_assists,-0.016853932584269725,0.015890040026663988,8,"ph_assists_min_diff, ph_assists_max_diff, ph_assists_mean_diff, ph_assists_std_diff, ph_assists_ratio_min_diff, ph_assists_ratio_max_diff, ph_assists_ratio_mean_diff, ph_assists_ratio_std_diff"
