Unnamed: 0,match_id,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff,target
571,38721421,344828,-1695229,-345924.5,-838383.23,11,25,3.33,-0.19,203,-1029,-278.5,-499.16,103,-165,-66.17,-301.17,256,2009,546.67,526.27,-239.91,94.13,-41.41,145.79,42795,125314,29520.83,8844.18,-0.44,0.1,-0.15,0.14,-0.04,0.81,0.15,0.32,0.63,2.34,0.58,0.44,-0.16,0.01,-0.01,0.08,0.67,3.17,0.72,0.77,-0.12,-0.21,-0.13,-0.04,N
707,38735600,153612,2541930,856913.17,778449.27,14,304,47.0,101.67,327,596,306.5,180.14,171,5339,981.83,1912.18,361,12049,2266.83,4472.45,-270.92,14.29,13.51,59.51,59038,1181126,196195.5,394621.76,-0.21,-0.38,-0.07,-0.1,0.1,0.17,-0.0,-0.0,0.3,15.68,2.6,5.67,-0.18,-0.12,-0.06,0.01,0.28,19.87,3.39,7.19,-0.09,-0.41,-0.19,-0.16,N
548,38719367,597574,-159443,-233893.17,-276584.55,22,-374,-4.5,-139.46,321,-4671,-363.33,-1700.27,165,-2890,-294.0,-1154.11,239,-4677,456.17,-1767.18,-310.21,-148.32,-205.32,54.56,66436,-1165158,-8064.0,-412116.28,-0.1,0.11,0.02,0.17,0.03,0.18,0.05,0.06,0.61,-6.92,1.49,-2.01,-0.23,-0.0,-0.1,0.09,0.52,-7.67,1.4,-2.18,0.02,0.22,0.11,0.1,Y
176,38673339,-154190,6958,-580694.83,129192.85,26,-359,-82.17,-164.02,280,-4759,-1078.17,-1950.67,57,263,-45.0,-9.08,264,-10657,-2266.5,-4450.75,122.06,224.17,177.15,-0.2,62709,-1386112,-307066.0,-573774.15,-0.21,-0.7,-0.19,-0.22,0.34,0.36,0.11,-0.02,0.53,-16.67,-3.82,-6.96,0.04,0.01,0.06,-0.03,0.38,-16.83,-3.74,-6.98,-0.02,0.03,0.11,0.02,Y
291,38690827,712620,-1352722,-3957.0,-693707.41,1,-345,-8.67,-130.66,-6,-7131,-595.83,-2753.8,11,-3511,-179.83,-1370.9,-46,-4571,11.0,-1661.31,89.14,107.33,9.91,3.94,4807,-1202129,-59550.33,-473303.65,0.37,0.3,0.0,0.03,-0.13,-0.66,-0.14,-0.17,-0.03,1.41,1.27,0.3,-0.03,0.02,-0.0,0.04,-0.14,1.45,1.26,0.36,0.11,0.01,0.04,-0.02,N
645,38727783,-1541585,7765,-1392794.0,631042.72,-3,-412,-152.67,-158.11,-65,-7213,-2249.33,-2763.86,-63,-3102,-1452.83,-1164.06,-159,-8460,-3208.5,-3341.23,-20.94,121.18,44.66,49.22,-17339,-1519500,-548920.17,-575140.77,-0.04,0.6,0.05,0.28,-0.11,0.77,0.33,0.37,-0.14,-13.36,-5.17,-5.16,-0.07,0.15,-0.05,0.11,-0.2,-14.73,-5.51,-5.86,-0.09,0.11,0.03,0.03,N
478,38711655,-473861,-1538347,-1307413.17,-422708.75,-8,-166,-122.67,-90.37,-222,-1218,-1896.17,-1029.17,-204,-1527,-1281.83,-774.21,-377,-6024,-2454.17,-2220.31,152.66,177.18,118.28,2.2,-48407,-701959,-441290.17,-328227.23,-0.07,-0.11,-0.1,-0.0,-0.1,0.05,0.01,0.02,-0.96,-6.74,-3.6,-2.45,-0.02,-0.1,0.04,-0.02,-1.1,-6.02,-3.43,-2.04,-0.12,0.27,0.07,0.15,Y
547,38719315,429773,195090,154595.33,-8310.79,11,-112,56.17,-70.99,274,266,2057.83,-112.58,121,1027,1226.83,5.95,255,-2230,853.33,-1358.86,222.11,340.69,287.19,49.06,39912,-435288,216193.0,-234974.83,0.03,0.68,0.42,0.18,-0.25,-0.05,-0.14,0.08,0.22,-1.14,1.49,-1.48,0.35,0.24,0.25,-0.02,0.35,-2.21,1.68,-1.69,0.18,-0.19,-0.02,-0.15,Y
664,38729362,162745,2119994,504125.0,686004.63,28,538,251.5,193.94,483,6917,2584.33,2218.02,291,6383,2719.83,2282.53,513,13732,5786.0,5274.73,-415.92,-103.12,-160.93,123.75,100278,2167199,875333.83,758499.34,0.06,-0.44,-0.19,-0.19,-0.09,-0.75,-0.19,-0.24,0.91,15.78,7.94,5.6,-0.11,-0.01,-0.05,0.04,0.93,16.05,8.16,5.58,0.04,0.05,0.06,-0.0,N
163,38671461,728607,162050,253821.5,-61294.82,2,-394,-116.83,-197.44,90,-8347,-1984.83,-3602.6,95,-4389,-599.5,-1688.55,136,-9625,-2588.5,-4464.39,201.8,-28.79,6.71,-80.89,35836,-1219105,-394307.33,-686523.88,0.35,-1.17,-0.55,-0.56,0.33,-0.12,0.24,-0.15,0.59,-15.68,-4.83,-8.64,-0.08,-0.06,-0.1,-0.0,0.51,-14.83,-4.61,-8.17,-0.09,-0.26,-0.17,-0.04,N
