,match_id,p_total_matches_played_min_Team0,p_total_matches_played_min_Team1,p_total_matches_played_max_Team0,p_total_matches_played_max_Team1,p_total_matches_played_mean_Team0,p_total_matches_played_mean_Team1,p_total_matches_played_std_Team0,p_total_matches_played_std_Team1,p_total_time_played_min_Team0,p_total_time_played_min_Team1,p_total_time_played_max_Team0,p_total_time_played_max_Team1,p_total_time_played_mean_Team0,p_total_time_played_mean_Team1,p_total_time_played_std_Team0,p_total_time_played_std_Team1,p_win_rate_min_Team0,p_win_rate_min_Team1,p_win_rate_max_Team0,p_win_rate_max_Team1,p_win_rate_mean_Team0,p_win_rate_mean_Team1,p_win_rate_std_Team0,p_win_rate_std_Team1,ph_matches_played_min_Team0,ph_matches_played_min_Team1,ph_matches_played_max_Team0,ph_matches_played_max_Team1,ph_matches_played_mean_Team0,ph_matches_played_mean_Team1,ph_matches_played_std_Team0,ph_matches_played_std_Team1,ph_time_played_min_Team0,ph_time_played_min_Team1,ph_time_played_max_Team0,ph_time_played_max_Team1,ph_time_played_mean_Team0,ph_time_played_mean_Team1,ph_time_played_std_Team0,ph_time_played_std_Team1,ph_kills_per_min_min_Team0,ph_kills_per_min_min_Team1,ph_kills_per_min_max_Team0,ph_kills_per_min_max_Team1,ph_kills_per_min_mean_Team0,ph_kills_per_min_mean_Team1,ph_kills_per_min_std_Team0,ph_kills_per_min_std_Team1,ph_deaths_per_min_min_Team0,ph_deaths_per_min_min_Team1,ph_deaths_per_min_max_Team0,ph_deaths_per_min_max_Team1,ph_deaths_per_min_mean_Team0,ph_deaths_per_min_mean_Team1,ph_deaths_per_min_std_Team0,ph_deaths_per_min_std_Team1,ph_accuracy_min_Team0,ph_accuracy_min_Team1,ph_accuracy_max_Team0,ph_accuracy_max_Team1,ph_accuracy_mean_Team0,ph_accuracy_mean_Team1,ph_accuracy_std_Team0,ph_accuracy_std_Team1,ph_total_kd_min_Team0,ph_total_kd_min_Team1,ph_total_kd_max_Team0,ph_total_kd_max_Team1,ph_total_kd_mean_Team0,ph_total_kd_mean_Team1,ph_total_kd_std_Team0,ph_total_kd_std_Team1,h_total_kd_min_Team0,h_total_kd_min_Team1,h_total_kd_max_Team0,h_total_kd_max_Team1,h_total_kd_mean_Team0,h_total_kd_mean_Team1,h_total_kd_std_Team0,h_total_kd_std_Team1,ph_kd_ratio_min_Team0,ph_kd_ratio_min_Team1,ph_kd_ratio_max_Team0,ph_kd_ratio_max_Team1,ph_kd_ratio_mean_Team0,ph_kd_ratio_mean_Team1,ph_kd_ratio_std_Team0,ph_kd_ratio_std_Team1,ph_hero_xp_ratio_min_Team0,ph_hero_xp_ratio_min_Team1,ph_hero_xp_ratio_max_Team0,ph_hero_xp_ratio_max_Team1,ph_hero_xp_ratio_mean_Team0,ph_hero_xp_ratio_mean_Team1,ph_hero_xp_ratio_std_Team0,ph_hero_xp_ratio_std_Team1,ph_avg_match_length_min_Team0,ph_avg_match_length_min_Team1,ph_avg_match_length_max_Team0,ph_avg_match_length_max_Team1,ph_avg_match_length_mean_Team0,ph_avg_match_length_mean_Team1,ph_avg_match_length_std_Team0,ph_avg_match_length_std_Team1,ph_avg_damage_per_match_min_Team0,ph_avg_damage_per_match_min_Team1,ph_avg_damage_per_match_max_Team0,ph_avg_damage_per_match_max_Team1,ph_avg_damage_per_match_mean_Team0,ph_avg_damage_per_match_mean_Team1,ph_avg_damage_per_match_std_Team0,ph_avg_damage_per_match_std_Team1,h_damage_per_match_min_Team0,h_damage_per_match_min_Team1,h_damage_per_match_max_Team0,h_damage_per_match_max_Team1,h_damage_per_match_mean_Team0,h_damage_per_match_mean_Team1,h_damage_per_match_std_Team0,h_damage_per_match_std_Team1,ph_damage_ratio_min_Team0,ph_damage_ratio_min_Team1,ph_damage_ratio_max_Team0,ph_damage_ratio_max_Team1,ph_damage_ratio_mean_Team0,ph_damage_ratio_mean_Team1,ph_damage_ratio_std_Team0,ph_damage_ratio_std_Team1,ph_assists_ratio_min_Team0,ph_assists_ratio_min_Team1,ph_assists_ratio_max_Team0,ph_assists_ratio_max_Team1,ph_assists_ratio_mean_Team0,ph_assists_ratio_mean_Team1,ph_assists_ratio_std_Team0,ph_assists_ratio_std_Team1,ph_win_rate_min_Team0,ph_win_rate_min_Team1,ph_win_rate_max_Team0,ph_win_rate_max_Team1,ph_win_rate_mean_Team0,ph_win_rate_mean_Team1,ph_win_rate_std_Team0,ph_win_rate_std_Team1,h_total_win_rate_min_Team0,h_total_win_rate_min_Team1,h_total_win_rate_max_Team0,h_total_win_rate_max_Team1,h_total_win_rate_mean_Team0,h_total_win_rate_mean_Team1,h_total_win_rate_std_Team0,h_total_win_rate_std_Team1,ph_win_rate_ratio_min_Team0,ph_win_rate_ratio_min_Team1,ph_win_rate_ratio_max_Team0,ph_win_rate_ratio_max_Team1,ph_win_rate_ratio_mean_Team0,ph_win_rate_ratio_mean_Team1,ph_win_rate_ratio_std_Team0,ph_win_rate_ratio_std_Team1,team_0_win
0,38940475,247.0,424.0,1808.0,2763.0,1066.17,1223.17,687.33,877.63,448608.0,799004.0,3491959.0,5127896.0,1931031.0,2267339.67,1263950.79,1646509.2,0.52,0.52,0.64,0.62,0.56,0.57,0.05,0.04,6.0,44.0,198.0,1595.0,116.67,423.83,83.85,612.88,10343.0,88332.0,341556.0,2947983.0,209682.5,781737.17,149579.53,1130943.58,0.17,0.11,0.33,0.4,0.24,0.23,0.05,0.1,0.14,0.12,0.2,0.19,0.17,0.17,0.02,0.03,0.54,0.5,0.69,0.67,0.61,0.59,0.05,0.06,1.2,0.64,1.83,2.03,1.41,1.4,0.22,0.46,0.84,0.71,1.18,1.42,1.07,1.05,0.12,0.24,1.01,0.9,1.75,2.03,1.35,1.34,0.3,0.4,0.0,0.0,0.01,0.04,0.0,0.01,0.0,0.01,28.07,29.5,32.29,33.46,29.58,31.09,1.58,1.34,19990.5,13222.26,35606.6,40434.56,26299.72,26837.01,5430.02,9655.55,22939.22,17943.45,30441.12,26506.18,25299.85,24084.32,2701.81,3190.37,0.83,0.74,1.45,1.59,1.04,1.1,0.21,0.35,0.0,0.0,0.01,0.04,0.0,0.01,0.0,0.01,0.42,0.48,0.65,0.68,0.53,0.58,0.08,0.07,0.45,0.48,0.52,0.52,0.49,0.51,0.03,0.01,0.85,0.92,1.3,1.32,1.09,1.15,0.15,0.14,Y
1,38940760,516.0,342.0,1507.0,1960.0,908.67,1072.5,453.26,570.09,1006385.0,677242.0,2863310.0,3844997.0,1721820.67,2038237.0,841244.95,1101970.19,0.53,0.51,0.58,0.54,0.55,0.53,0.02,0.01,12.0,14.0,1171.0,340.0,242.5,147.83,455.59,131.32,21665.0,23810.0,2218177.0,683255.0,459569.83,286743.0,862939.6,261677.71,0.15,0.17,0.28,0.28,0.2,0.24,0.05,0.04,0.15,0.13,0.22,0.21,0.19,0.17,0.03,0.04,0.57,0.55,0.66,0.72,0.6,0.63,0.04,0.06,0.85,0.79,1.68,1.98,1.08,1.51,0.32,0.43,0.7,0.79,1.18,1.42,0.9,1.03,0.19,0.23,0.75,0.95,1.95,2.51,1.25,1.5,0.47,0.56,0.0,0.0,0.03,0.01,0.01,0.0,0.01,0.0,29.63,28.35,32.59,33.49,31.44,31.37,1.28,1.9,18987.58,25857.82,28112.43,34879.87,23698.93,30907.96,4142.23,3460.72,17943.45,17842.42,23993.29,30441.12,21623.19,25128.53,2357.56,4103.96,0.79,0.98,1.37,1.76,1.11,1.26,0.23,0.28,0.0,0.0,0.03,0.01,0.01,0.0,0.01,0.0,0.4,0.41,0.63,0.57,0.53,0.53,0.1,0.06,0.45,0.49,0.52,0.52,0.5,0.51,0.03,0.01,0.82,0.8,1.21,1.15,1.06,1.05,0.16,0.13,Y
2,38941002,98.0,159.0,1764.0,2653.0,814.17,1138.0,709.99,980.66,163466.0,276109.0,3044778.0,4839737.0,1420566.67,2091597.5,1231096.04,1816454.46,0.5,0.54,0.63,0.61,0.56,0.56,0.05,0.03,3.0,14.0,70.0,1516.0,35.17,442.0,23.88,634.03,5303.0,25838.0,122013.0,2732832.0,60822.83,803056.33,41872.24,1150804.07,0.14,0.19,0.35,0.38,0.23,0.28,0.08,0.08,0.17,0.15,0.3,0.2,0.23,0.19,0.05,0.02,0.51,0.52,0.68,0.65,0.62,0.57,0.06,0.05,0.72,0.96,1.25,2.08,0.98,1.5,0.19,0.43,0.9,0.86,1.18,1.14,1.08,1.04,0.11,0.1,0.61,0.95,1.15,2.41,0.92,1.47,0.19,0.54,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.01,27.44,28.99,30.6,30.85,28.76,30.08,1.19,0.8,18932.64,18794.99,26187.24,37390.92,23265.51,28666.48,2755.44,6404.6,22939.22,20826.11,25589.45,30441.12,24150.49,24631.78,946.29,3154.2,0.79,0.8,1.07,1.8,0.96,1.19,0.1,0.35,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.01,0.33,0.47,0.6,0.64,0.49,0.57,0.1,0.06,0.45,0.47,0.52,0.51,0.49,0.5,0.03,0.01,0.75,0.96,1.2,1.26,1.01,1.15,0.19,0.12,N
3,38941052,212.0,900.0,1436.0,2437.0,780.83,1520.33,443.94,522.61,395025.0,1774971.0,2824585.0,4562397.0,1496999.0,2881366.33,880282.51,940083.82,0.52,0.5,0.65,0.58,0.56,0.54,0.05,0.03,10.0,10.0,653.0,1364.0,274.83,392.33,301.17,515.89,18281.0,19227.0,1272960.0,2558511.0,520588.0,750326.67,573042.11,968989.7,0.18,0.16,0.28,0.3,0.22,0.21,0.05,0.05,0.13,0.15,0.22,0.24,0.17,0.21,0.04,0.03,0.56,0.49,0.68,0.7,0.63,0.58,0.06,0.07,0.88,0.88,2.12,1.22,1.37,1.01,0.52,0.13,0.71,0.7,1.42,1.1,1.02,0.93,0.27,0.14,0.79,0.98,1.8,1.53,1.35,1.1,0.36,0.21,0.0,0.0,0.02,0.04,0.01,0.01,0.01,0.02,30.47,30.95,32.49,32.95,31.3,32.11,0.69,0.85,20257.8,22329.33,35202.15,36117.37,26818.81,28716.01,5530.51,5934.24,17943.45,20266.23,26506.18,29200.07,23605.12,24864.01,3513.88,2889.51,0.91,0.99,1.33,1.43,1.14,1.15,0.15,0.16,0.0,0.0,0.02,0.04,0.01,0.01,0.01,0.02,0.47,0.5,0.77,0.63,0.58,0.58,0.11,0.05,0.45,0.48,0.52,0.52,0.5,0.51,0.03,0.02,0.93,0.99,1.48,1.3,1.15,1.14,0.22,0.12,N
4,38941055,599.0,311.0,3152.0,1858.0,1805.17,1230.5,860.97,552.85,1080913.0,580913.0,5487576.0,3395183.0,3234323.0,2212671.5,1558913.1,980855.36,0.5,0.51,0.58,0.55,0.53,0.53,0.03,0.01,3.0,57.0,2950.0,812.0,614.83,201.67,1154.51,299.48,6635.0,99326.0,5131606.0,1495727.0,1078212.0,367614.33,2008226.55,553709.43,0.11,0.16,0.46,0.32,0.26,0.24,0.15,0.06,0.16,0.12,0.23,0.24,0.21,0.2,0.03,0.04,0.52,0.56,0.67,0.74,0.58,0.63,0.06,0.06,0.47,0.78,2.73,2.25,1.31,1.28,0.91,0.51,0.7,0.84,1.18,1.42,1.03,1.02,0.19,0.22,0.53,0.93,2.43,1.58,1.22,1.22,0.74,0.21,0.0,0.0,0.09,0.02,0.02,0.0,0.03,0.01,27.19,27.71,36.86,30.7,30.59,29.75,3.65,1.16,15446.46,20910.7,29468.68,34998.8,24854.18,26637.1,6380.24,5206.27,20266.23,20826.11,24536.48,29200.07,23203.35,25286.78,1530.02,2782.47,0.76,0.89,1.28,1.27,1.06,1.05,0.24,0.15,0.0,0.0,0.09,0.02,0.02,0.01,0.04,0.01,0.51,0.49,0.67,0.58,0.59,0.53,0.06,0.04,0.45,0.47,0.52,0.52,0.49,0.51,0.03,0.02,0.99,0.96,1.49,1.23,1.22,1.05,0.18,0.1,Y
5,38941174,88.0,64.0,1960.0,1801.0,891.83,670.67,691.08,617.63,159576.0,102574.0,3844997.0,3447020.0,1669592.0,1271793.17,1318589.68,1196087.07,0.51,0.51,0.59,0.81,0.54,0.63,0.03,0.12,8.0,7.0,264.0,574.0,112.83,225.17,108.08,239.03,15006.0,12041.0,500806.0,1163084.0,211575.17,434750.67,201485.66,482167.33,0.19,0.08,0.31,0.32,0.24,0.21,0.04,0.08,0.17,0.14,0.21,0.21,0.19,0.17,0.01,0.03,0.52,0.56,0.72,0.7,0.62,0.59,0.07,0.05,1.03,0.47,1.74,1.98,1.23,1.27,0.27,0.53,0.71,0.58,1.18,1.14,0.94,0.92,0.16,0.19,1.08,0.81,1.64,2.01,1.32,1.33,0.2,0.4,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.01,30.34,26.14,33.39,33.77,31.73,29.92,1.05,2.76,27857.41,12712.76,39532.73,28698.91,30558.84,24884.28,4461.04,6073.4,17943.45,14335.66,25932.25,29200.07,23398.18,23492.76,2886.03,4920.95,1.12,0.89,1.65,1.17,1.32,1.05,0.22,0.1,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.5,0.51,0.75,0.78,0.6,0.59,0.09,0.09,0.45,0.49,0.52,0.52,0.49,0.51,0.03,0.01,1.04,1.02,1.68,1.59,1.21,1.17,0.24,0.21,Y
6,38941189,316.0,696.0,2008.0,1656.0,1122.0,1162.67,691.58,368.32,552051.0,1239737.0,3563600.0,3011511.0,2004035.5,2088300.33,1241143.53,688882.17,0.53,0.54,0.67,0.61,0.58,0.56,0.05,0.03,47.0,10.0,286.0,1099.0,108.0,241.0,91.44,423.53,87528.0,16740.0,502239.0,1998086.0,193448.17,432532.67,159980.96,772354.24,0.26,0.17,0.49,0.38,0.32,0.3,0.09,0.08,0.14,0.13,0.27,0.21,0.2,0.17,0.04,0.03,0.55,0.6,0.64,0.7,0.6,0.66,0.04,0.04,1.0,0.78,3.13,2.89,1.71,1.82,0.76,0.69,0.86,0.58,1.18,1.42,1.01,1.05,0.12,0.28,1.12,1.25,3.18,2.44,1.69,1.71,0.76,0.43,0.0,0.0,0.01,0.04,0.0,0.01,0.0,0.02,28.75,27.53,31.04,30.3,30.01,28.59,0.95,1.1,25718.45,17198.55,44722.22,32807.83,33581.0,28039.24,7688.2,5827.76,20826.11,14335.66,30441.12,26429.47,24547.29,22708.11,3189.32,4259.14,1.21,1.0,1.89,1.43,1.37,1.24,0.26,0.15,0.0,0.0,0.01,0.05,0.0,0.01,0.0,0.02,0.48,0.43,0.7,0.8,0.55,0.62,0.09,0.12,0.47,0.45,0.52,0.51,0.49,0.49,0.02,0.02,0.93,0.86,1.44,1.79,1.11,1.27,0.18,0.31,N
7,38941435,526.0,155.0,3332.0,1784.0,1896.67,1169.33,1086.28,615.24,987610.0,289694.0,5651676.0,2990819.0,3319586.5,2012008.17,1814762.72,1023227.54,0.52,0.51,0.56,0.62,0.53,0.55,0.01,0.04,5.0,2.0,991.0,445.0,266.0,136.83,373.07,156.27,9873.0,5097.0,1819790.0,804400.0,482328.0,245269.0,685791.92,283728.89,0.2,0.08,0.35,0.34,0.27,0.27,0.06,0.09,0.09,0.15,0.28,0.25,0.2,0.2,0.09,0.03,0.49,0.57,0.66,0.7,0.6,0.64,0.06,0.05,0.92,0.58,2.72,1.72,1.59,1.31,0.63,0.42,0.86,0.58,1.18,1.42,1.09,1.06,0.12,0.27,1.04,1.01,2.55,1.43,1.45,1.22,0.57,0.17,0.0,0.0,0.07,0.01,0.02,0.0,0.03,0.0,28.46,27.57,32.91,42.48,30.39,31.59,1.6,5.48,21390.98,23717.68,33118.12,28201.2,28896.57,26346.54,4180.94,1682.05,20826.11,14335.66,30441.12,26429.47,24644.47,23024.44,3152.87,4428.27,0.94,1.01,1.36,1.97,1.18,1.2,0.17,0.38,0.0,0.0,0.09,0.01,0.02,0.0,0.04,0.0,0.2,0.48,0.67,1.0,0.48,0.61,0.16,0.19,0.45,0.47,0.52,0.52,0.49,0.5,0.03,0.02,0.45,0.95,1.31,1.99,0.97,1.22,0.28,0.39,N
8,38941796,246.0,211.0,1355.0,3320.0,940.67,1654.5,379.11,1014.2,458696.0,406665.0,2621005.0,6302133.0,1773661.67,3090994.67,737522.24,1919913.34,0.53,0.52,0.65,0.63,0.57,0.55,0.04,0.04,2.0,5.0,519.0,2323.0,138.33,778.67,200.89,912.71,3217.0,9598.0,962448.0,4390231.0,255957.17,1465469.33,371263.32,1726115.34,0.07,0.14,0.38,0.28,0.22,0.22,0.11,0.05,0.13,0.08,0.19,0.23,0.18,0.16,0.03,0.06,0.59,0.5,0.66,0.65,0.62,0.59,0.03,0.06,0.4,0.77,2.84,2.74,1.32,1.59,0.84,0.7,0.58,0.7,1.18,1.18,0.98,0.96,0.23,0.21,0.36,1.1,2.42,3.85,1.34,1.74,0.67,1.06,0.0,0.0,0.01,0.06,0.0,0.02,0.0,0.02,26.81,30.0,32.52,31.99,30.43,31.36,2.1,0.71,13681.52,19188.42,30814.47,35000.56,24662.91,26377.33,6715.18,5634.38,14335.66,17943.45,24394.69,30441.12,22131.66,23662.81,3847.8,4320.28,0.6,0.95,1.39,1.18,1.13,1.11,0.29,0.08,0.0,0.0,0.01,0.06,0.0,0.02,0.0,0.02,0.36,0.4,0.88,0.58,0.58,0.53,0.17,0.06,0.47,0.45,0.51,0.52,0.49,0.5,0.02,0.03,0.72,0.9,1.87,1.22,1.19,1.06,0.38,0.11,N
9,38941925,579.0,621.0,1824.0,2339.0,1132.67,1379.33,498.53,808.85,1178541.0,1109962.0,3510759.0,4499539.0,2181385.0,2615314.67,956009.19,1571933.73,0.51,0.52,0.54,0.56,0.52,0.54,0.01,0.01,24.0,8.0,1737.0,1478.0,441.83,449.0,658.83,602.35,44069.0,13242.0,3350683.0,2822916.0,848959.17,841956.17,1270566.96,1137281.78,0.19,0.17,0.29,0.34,0.24,0.23,0.04,0.06,0.13,0.14,0.26,0.25,0.17,0.19,0.05,0.04,0.52,0.57,0.66,0.72,0.61,0.61,0.05,0.06,1.0,0.88,1.98,1.72,1.46,1.23,0.38,0.38,0.86,0.61,1.42,1.18,1.13,0.99,0.23,0.2,0.85,0.74,2.07,1.96,1.33,1.3,0.41,0.48,0.0,0.0,0.04,0.06,0.01,0.02,0.02,0.03,30.6,27.59,35.17,32.45,32.33,30.81,1.59,1.79,20933.35,17520.67,41401.4,33704.73,31017.74,25021.54,7297.74,5160.81,20826.11,20065.05,30441.12,25589.45,26543.19,23748.84,3694.4,2026.7,0.89,0.73,1.36,1.32,1.17,1.06,0.19,0.21,0.0,0.0,0.04,0.07,0.01,0.02,0.02,0.03,0.47,0.46,0.59,0.75,0.51,0.56,0.04,0.1,0.47,0.45,0.51,0.52,0.49,0.5,0.02,0.03,0.95,0.93,1.16,1.68,1.04,1.14,0.07,0.28,N
