feature_group,8.14.25_rf_1_quantiles,8.14.25_rf_1_quantiles_diff,8.14.25_rf_1_std,8.14.25_rf_1_std_diff
p_total_time_played,0.0022471910112359826,,0.011235955056179803,
p_total_time_played_mean,,,,0.004494382022471877
p_total_time_played_min,,,,0.014606741573033655
p_total_time_played_q75,,0.011235955056179803,,
p_total_time_played_std,,,,0.008988764044943798
ph_assists,-0.014606741573033655,,0.013483146067415764,
ph_assists_min,,0.013483146067415741,,
ph_assists_ratio,-0.006741573033707838,,0.014606741573033743,
ph_assists_ratio_median,,0.008988764044943842,,
ph_assists_std,,,,0.004494382022471899
ph_damage_per_min,0.0022471910112359826,,0.017977528089887684,
ph_damage_per_min_max,,,,0.016853932584269614
ph_damage_per_min_mean,,,,0.014606741573033655
ph_damage_per_min_median,,0.01910112359550562,,
ph_damage_per_min_min,,,,0.010112359550561755
ph_damage_per_min_ratio,0.010112359550561823,,0.0314606741573034,
ph_damage_per_min_ratio_max,,0.008988764044943842,,0.024719101123595454
ph_damage_per_min_ratio_mean,,,,0.010112359550561755
ph_damage_per_min_ratio_q25,,0.013483146067415741,,
ph_damage_per_min_ratio_q75,,0.008988764044943842,,
ph_damage_per_min_ratio_std,,,,0.007865168539325817
ph_deaths,4.4408920985006264e-17,,0.025842696629213503,
ph_deaths_std,,,,0.005617977528089879
ph_kd_ratio,-0.007865168539325795,,0.023595505617977564,
ph_kd_ratio_max,,0.008988764044943842,,0.005617977528089879
ph_kd_ratio_mean,,,,0.007865168539325795
ph_kd_ratio_median,,0.008988764044943842,,
ph_kd_ratio_std,,,,0.004494382022471899
ph_kills,-0.0011235955056179358,,0.022471910112359585,
ph_kills_min,,0.012359550561797761,,
ph_time_played,0.012359550561797782,,0.0067415730337079035,
ph_time_played_max,,,,0.005617977528089879
ph_time_played_mean,,,,0.008988764044943798
ph_time_played_median,,0.013483146067415764,,
ph_time_played_min,,0.016853932584269704,,
ph_time_played_ratio,-0.004494382022471877,,0.0213483146067416,
ph_time_played_ratio_min,,0.011235955056179803,,
ph_total_kd,0.010112359550561844,,0.022471910112359585,
ph_total_kd_q25,,0.015730337078651725,,
ph_total_kd_q75,,0.02359550561797752,,
ph_win_rate_ratio,0.13370786516853936,,0.21348314606741572,
ph_win_rate_ratio_max,,0.0303370786516854,,0.048314606741572994
ph_win_rate_ratio_mean,,,,0.1426966292134831
ph_win_rate_ratio_median,,0.03146067415730336,,
ph_win_rate_ratio_min,,0.05280898876404494,,0.0786516853932584
ph_win_rate_ratio_q25,,0.035955056179775305,,
ph_wins,0.015730337078651745,,0.024719101123595523,
ph_wins_median,,0.007865168539325862,,
ph_wins_min,,,,0.016853932584269593
