feature,8.14.25_rf_1_quantiles,8.14.25_rf_1_quantiles_diff,8.14.25_rf_1_std,8.14.25_rf_1_std_diff
p_total_time_played_max_Team0,5.0,,,
p_total_time_played_min_diff,,,,3.0
p_total_time_played_q75_Team0,11.0,,,
p_total_time_played_q75_diff,,7.0,,
p_total_time_played_std_Team0,,,9.0,
p_total_time_played_std_diff,,,,6.0
ph_assists_max_diff,,24.0,,
ph_assists_mean_diff,,,,21.0
ph_assists_min_diff,,23.0,,19.0
ph_assists_ratio_std_diff,,,,50.0
ph_assists_std_diff,,,,22.0
ph_damage_per_min_max_Team0,,,45.0,
ph_damage_per_min_max_Team1,56.0,,,
ph_damage_per_min_max_diff,,29.0,,24.0
ph_damage_per_min_mean_Team1,,,48.0,
ph_damage_per_min_mean_diff,,,,25.0
ph_damage_per_min_median_Team1,60.0,,,
ph_damage_per_min_median_diff,,31.0,,
ph_damage_per_min_min_diff,,,,23.0
ph_damage_per_min_ratio_max_Team0,,,85.0,
ph_damage_per_min_ratio_max_Team1,106.0,,,
ph_damage_per_min_ratio_max_diff,,,,44.0
ph_damage_per_min_ratio_median_diff,,56.0,,
ph_damage_per_min_ratio_min_Team0,,,83.0,
ph_damage_per_min_ratio_q25_diff,,55.0,,
ph_damage_per_min_std_diff,,,,26.0
ph_deaths_max_Team1,,,30.0,
ph_deaths_min_Team1,34.0,,,
ph_deaths_q75_Team0,41.0,,,
ph_deaths_q75_diff,,22.0,,
ph_deaths_std_Team1,,,34.0,
ph_deaths_std_diff,,,,18.0
ph_kd_ratio_max_diff,,44.0,,36.0
ph_kd_ratio_median_diff,,46.0,,
ph_kd_ratio_min_Team0,,,67.0,
ph_kd_ratio_q25_Team1,88.0,,,
ph_kills_max_Team0,,,21.0,
ph_kills_median_Team0,29.0,,,
ph_kills_std_Team1,,,26.0,
ph_time_played_mean_diff,,,,29.0
ph_time_played_median_diff,,36.0,,
ph_time_played_min_diff,,33.0,,
ph_time_played_q25_Team0,67.0,,,
ph_time_played_q25_diff,,35.0,,
ph_time_played_ratio_max_Team0,95.0,,,
ph_time_played_ratio_min_Team0,,,75.0,
ph_time_played_ratio_min_diff,,,,39.0
ph_time_played_ratio_std_Team0,,,81.0,
ph_total_kd_max_Team1,76.0,,,
ph_total_kd_mean_Team0,,,63.0,
ph_total_kd_median_diff,,41.0,,
ph_total_kd_min_diff,,38.0,,
ph_total_kd_q75_Team0,81.0,,,
ph_total_kd_q75_diff,,42.0,,
ph_win_rate_ratio_max_Team0,125.0,,101.0,
ph_win_rate_ratio_max_Team1,126.0,,102.0,
ph_win_rate_ratio_max_diff,,64.0,,52.0
ph_win_rate_ratio_mean_Team0,,,103.0,
ph_win_rate_ratio_mean_Team1,,,104.0,
ph_win_rate_ratio_mean_diff,,,,53.0
ph_win_rate_ratio_median_Team1,130.0,,,
ph_win_rate_ratio_median_diff,,66.0,,
ph_win_rate_ratio_min_Team0,123.0,,99.0,
ph_win_rate_ratio_min_Team1,124.0,,100.0,
ph_win_rate_ratio_min_diff,,63.0,,51.0
ph_win_rate_ratio_q25_diff,,65.0,,
ph_wins_mean_diff,,,,9.0
ph_wins_median_Team0,19.0,,,
ph_wins_min_Team1,,,12.0,
ph_wins_min_diff,,,,7.0
ph_wins_q25_Team0,17.0,,,
