feature_group,8.14.25_rf_1_quantiles,8.14.25_rf_1_quantiles_diff,8.14.25_rf_1_std,8.14.25_rf_1_std_diff
p_total_time_played,1.0,,1.0,
p_total_time_played_mean,,,,3.0
p_total_time_played_min,,,,1.0
p_total_time_played_q75,,5.0,,
p_total_time_played_std,,,,4.0
ph_assists,5.0,,5.0,
ph_assists_min,,21.0,,
ph_assists_ratio,12.0,,12.0,
ph_assists_ratio_median,,59.0,,
ph_assists_std,,,,20.0
ph_damage_per_min,6.0,,6.0,
ph_damage_per_min_max,,,,22.0
ph_damage_per_min_mean,,,,23.0
ph_damage_per_min_median,,29.0,,
ph_damage_per_min_min,,,,21.0
ph_damage_per_min_ratio,11.0,,11.0,
ph_damage_per_min_ratio_max,,52.0,,42.0
ph_damage_per_min_ratio_mean,,,,43.0
ph_damage_per_min_ratio_q25,,53.0,,
ph_damage_per_min_ratio_q75,,55.0,,
ph_damage_per_min_ratio_std,,,,44.0
ph_deaths,4.0,,4.0,
ph_deaths_std,,,,16.0
ph_kd_ratio,9.0,,9.0,
ph_kd_ratio_max,,42.0,,34.0
ph_kd_ratio_mean,,,,35.0
ph_kd_ratio_median,,44.0,,
ph_kd_ratio_std,,,,36.0
ph_kills,3.0,,3.0,
ph_kills_min,,11.0,,
ph_time_played,7.0,,7.0,
ph_time_played_max,,,,26.0
ph_time_played_mean,,,,27.0
ph_time_played_median,,34.0,,
ph_time_played_min,,31.0,,
ph_time_played_ratio,10.0,,10.0,
ph_time_played_ratio_min,,46.0,,
ph_total_kd,8.0,,8.0,
ph_total_kd_q25,,38.0,,
ph_total_kd_q75,,40.0,,
ph_win_rate_ratio,13.0,,13.0,
ph_win_rate_ratio_max,,62.0,,50.0
ph_win_rate_ratio_mean,,,,51.0
ph_win_rate_ratio_median,,64.0,,
ph_win_rate_ratio_min,,61.0,,49.0
ph_win_rate_ratio_q25,,63.0,,
ph_wins,2.0,,2.0,
ph_wins_median,,9.0,,
ph_wins_min,,,,5.0
