match_id,start_time,game_mode,match_mode,duration_s,winning_team
35375033,2025-05-03 04:59:38,Normal,Unranked,2677,Team1
35375071,2025-05-03 05:01:46,Normal,Unranked,2624,Team0
35375249,2025-05-03 05:12:39,Normal,Unranked,1814,Team0
35375442,2025-05-03 05:24:02,Normal,Unranked,1643,Team0
35375631,2025-05-03 05:35:19,Normal,Unranked,1715,Team0
35375784,2025-05-03 05:45:53,Normal,Unranked,1881,Team0
35375811,2025-05-03 05:47:19,Normal,Unranked,1636,Team0
35375862,2025-05-03 05:50:54,Normal,Unranked,1933,Team1
35375948,2025-05-03 05:56:28,Normal,Unranked,1958,Team0
35376201,2025-05-03 06:13:12,Normal,Unranked,1277,Team0
35376274,2025-05-03 06:17:31,Normal,Unranked,2103,Team1
35376358,2025-05-03 06:23:16,Normal,Unranked,1924,Team0
35376541,2025-05-03 06:35:02,Normal,Unranked,2439,Team1
35376898,2025-05-03 06:59:22,Normal,Unranked,1916,Team1
35376923,2025-05-03 07:01:45,Normal,Unranked,2274,Team1
35377006,2025-05-03 07:07:44,Normal,Unranked,2705,Team0
35377256,2025-05-03 07:27:30,Normal,Unranked,601,Team0
35377459,2025-05-03 07:41:52,Normal,Unranked,1838,Team0
35377624,2025-05-03 07:54:40,Normal,Unranked,2105,Team0
35377861,2025-05-03 08:13:27,Normal,Unranked,2185,Team0
35378130,2025-05-03 08:33:09,Normal,Unranked,2087,Team0
35378447,2025-05-03 08:58:28,Normal,Unranked,1135,Team0
35378890,2025-05-03 09:31:17,Normal,Unranked,2143,Team0
35378960,2025-05-03 09:36:02,Normal,Unranked,1920,Team0
35379266,2025-05-03 09:58:44,Normal,Unranked,1953,Team0
35379327,2025-05-03 10:02:27,Normal,Unranked,1515,Team0
35379374,2025-05-03 10:05:52,Normal,Unranked,1670,Team0
35379424,2025-05-03 10:09:46,Normal,Unranked,1444,Team1
35379501,2025-05-03 10:15:10,Normal,Unranked,1149,Team0
35379548,2025-05-03 10:18:05,Normal,Unranked,1950,Team1
35379802,2025-05-03 10:35:50,Normal,Unranked,1787,Team1
35379982,2025-05-03 10:47:49,Normal,Unranked,1581,Team1
35380079,2025-05-03 10:53:41,Normal,Unranked,1622,Team0
35380231,2025-05-03 11:02:00,Normal,Unranked,2309,Team1
35380260,2025-05-03 11:03:34,Normal,Unranked,2153,Team1
35380391,2025-05-03 11:11:52,Normal,Unranked,1180,Team0
35380452,2025-05-03 11:16:30,Normal,Unranked,1834,Team0
35380816,2025-05-03 11:38:53,Normal,Unranked,1076,Team1
35380856,2025-05-03 11:40:59,Normal,Unranked,1696,Team1
35380970,2025-05-03 11:48:03,Normal,Unranked,1905,Team1
35381188,2025-05-03 12:00:45,Normal,Unranked,2380,Team0
35381324,2025-05-03 12:08:38,Normal,Unranked,1892,Team0
35381422,2025-05-03 12:13:49,Normal,Unranked,2563,Team0
35381579,2025-05-03 12:22:07,Normal,Unranked,1324,Team1
35381768,2025-05-03 12:30:49,Normal,Unranked,2658,Team0
35382383,2025-05-03 13:03:04,Normal,Unranked,2091,Team1
35382630,2025-05-03 13:16:58,Normal,Unranked,1983,Team0
35382660,2025-05-03 13:18:12,Normal,Unranked,2514,Team0
35383134,2025-05-03 13:41:16,Normal,Unranked,1785,Team0
35383400,2025-05-03 13:54:32,Normal,Unranked,2471,Team0
35383769,2025-05-03 14:12:43,Normal,Unranked,630,Team1
35383935,2025-05-03 14:20:21,Normal,Unranked,1944,Team0
35383988,2025-05-03 14:22:57,Normal,Unranked,2354,Team1
35384131,2025-05-03 14:29:32,Normal,Unranked,1775,Team0
35384481,2025-05-03 14:46:04,Normal,Unranked,1419,Team1
35384722,2025-05-03 14:56:23,Normal,Unranked,1560,Team1
35384924,2025-05-03 15:05:00,Normal,Unranked,1877,Team0
35385087,2025-05-03 15:13:03,Normal,Unranked,2772,Team0
35385136,2025-05-03 15:15:21,Normal,Unranked,1803,Team1
35385210,2025-05-03 15:18:23,Normal,Unranked,1731,Team0
35385634,2025-05-03 15:35:38,Normal,Unranked,1280,Team0
35385744,2025-05-03 15:40:43,Normal,Unranked,1750,Team1
35385882,2025-05-03 15:47:23,Normal,Unranked,2565,Team1
35386081,2025-05-03 15:56:12,Normal,Unranked,2470,Team0
35386131,2025-05-03 15:58:19,Normal,Unranked,1712,Team0
35386211,2025-05-03 16:01:56,Normal,Unranked,2150,Team1
35386285,2025-05-03 16:04:58,Normal,Unranked,2269,Team0
35386512,2025-05-03 16:13:48,Normal,Unranked,2093,Team0
35386573,2025-05-03 16:16:31,Normal,Unranked,2042,Team0
35386907,2025-05-03 16:30:07,Normal,Unranked,1467,Team0
35387171,2025-05-03 16:41:02,Normal,Unranked,1268,Team0
35387316,2025-05-03 16:46:49,Normal,Unranked,1656,Team0
35387581,2025-05-03 16:57:01,Normal,Unranked,2550,Team1
35387682,2025-05-03 17:00:45,Normal,Unranked,1836,Team0
35387836,2025-05-03 17:06:54,Normal,Unranked,1659,Team0
35387939,2025-05-03 17:10:56,Normal,Unranked,1349,Team0
35388028,2025-05-03 17:14:10,Normal,Unranked,2112,Team1
35388057,2025-05-03 17:15:42,Normal,Unranked,2222,Team0
35388069,2025-05-03 17:16:09,Normal,Unranked,1844,Team1
35388071,2025-05-03 17:16:13,Normal,Unranked,2000,Team0
35388202,2025-05-03 17:20:41,Normal,Unranked,2454,Team1
35388311,2025-05-03 17:25:06,Normal,Unranked,1382,Team0
35388413,2025-05-03 17:29:12,Normal,Unranked,1717,Team0
35388466,2025-05-03 17:31:04,Normal,Unranked,1996,Team1
35388683,2025-05-03 17:39:38,Normal,Unranked,1538,Team1
35388725,2025-05-03 17:40:48,Normal,Unranked,2027,Team0
35388931,2025-05-03 17:48:56,Normal,Unranked,1718,Team0
35388993,2025-05-03 17:50:50,Normal,Unranked,2625,Team0
35389098,2025-05-03 17:54:34,Normal,Unranked,1988,Team1
35389319,2025-05-03 18:02:08,Normal,Unranked,1868,Team1
35389497,2025-05-03 18:08:20,Normal,Unranked,1456,Team0
35389683,2025-05-03 18:14:53,Normal,Unranked,1615,Team0
35389725,2025-05-03 18:16:20,Normal,Unranked,1880,Team1
35389884,2025-05-03 18:22:09,Normal,Unranked,2033,Team0
35389907,2025-05-03 18:22:55,Normal,Unranked,2402,Team0
35390097,2025-05-03 18:29:27,Normal,Unranked,2664,Team0
35390201,2025-05-03 18:33:20,Normal,Unranked,1677,Team1
35390315,2025-05-03 18:37:08,Normal,Unranked,2002,Team1
35390521,2025-05-03 18:44:21,Normal,Unranked,2733,Team1
35390674,2025-05-03 18:49:26,Normal,Unranked,705,Team1
35390996,2025-05-03 19:00:22,Normal,Unranked,1032,Team0
35391117,2025-05-03 19:04:20,Normal,Unranked,2103,Team0
35391132,2025-05-03 19:04:55,Normal,Unranked,2078,Team0
35391358,2025-05-03 19:12:11,Normal,Unranked,2285,Team0
35391397,2025-05-03 19:13:42,Normal,Unranked,1791,Team0
35391561,2025-05-03 19:19:15,Normal,Unranked,1463,Team1
35391894,2025-05-03 19:30:15,Normal,Unranked,1714,Team1
35392292,2025-05-03 19:44:02,Normal,Unranked,2567,Team1
35392346,2025-05-03 19:45:36,Normal,Unranked,1715,Team0
35392493,2025-05-03 19:50:36,Normal,Unranked,1644,Team0
35392513,2025-05-03 19:51:17,Normal,Unranked,1753,Team1
35392676,2025-05-03 19:56:36,Normal,Unranked,1819,Team0
35392861,2025-05-03 20:02:27,Normal,Unranked,1991,Team1
35393250,2025-05-03 20:14:45,Normal,Unranked,2076,Team1
35393450,2025-05-03 20:20:43,Normal,Unranked,1295,Team1
35393703,2025-05-03 20:29:20,Normal,Unranked,1726,Team1
35393780,2025-05-03 20:32:02,Normal,Unranked,2250,Team1
35393986,2025-05-03 20:39:26,Normal,Unranked,2823,Team0
35394021,2025-05-03 20:40:23,Normal,Unranked,2001,Team0
35394173,2025-05-03 20:45:36,Normal,Unranked,1653,Team0
35394201,2025-05-03 20:46:21,Normal,Unranked,1827,Team0
35394506,2025-05-03 20:56:21,Normal,Unranked,1753,Team1
35394788,2025-05-03 21:05:35,Normal,Unranked,2360,Team0
35395075,2025-05-03 21:15:53,Normal,Unranked,1621,Team0
