account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
93241258,35399521,Team0,2,14,9,11,3,75023
861322129,35399521,Team1,19,21,6,18,14,63444
1849077036,35399521,Team1,13,12,13,17,7,60503
136743810,35399521,Team0,18,4,13,19,3,49702
185873781,35399521,Team0,20,10,6,19,10,61266
190041536,35399521,Team1,52,8,4,23,24,56822
55126821,35399521,Team1,31,10,6,25,1,51930
386039958,35399521,Team0,14,7,10,23,6,49560
1017432148,35399521,Team1,27,10,12,23,3,52369
69753356,35399521,Team1,3,4,9,29,7,52894
1834107935,35399521,Team0,4,9,12,13,2,50638
868685374,35399521,Team0,6,6,15,13,6,50570
127909624,35399688,Team0,1,6,8,4,3,23989
10262870,35399688,Team1,2,4,7,14,4,29011
84379844,35399688,Team0,20,5,5,8,12,28184
105263588,35399688,Team1,14,9,3,16,3,29664
1871021649,35399688,Team0,31,4,7,11,4,22474
297093245,35399688,Team0,52,3,10,6,6,20883
898514158,35399688,Team1,6,5,5,10,3,25438
1260603816,35399688,Team0,18,1,6,7,14,26821
137322787,35399688,Team1,19,11,2,9,4,31289
1689302808,35399688,Team1,27,8,3,12,4,29374
215398243,35399688,Team1,25,10,1,12,5,40388
383518129,35399688,Team0,15,2,11,9,11,21615
435663650,35399773,Team0,58,11,9,7,17,54346
897208144,35399773,Team0,31,11,6,20,5,50297
119273142,35399773,Team0,17,11,4,14,2,50065
83773938,35399773,Team1,2,6,10,10,2,48279
244503960,35399773,Team0,13,10,11,11,8,46125
163329738,35399773,Team1,27,9,13,16,5,46021
1161989223,35399773,Team0,18,3,7,17,0,49387
1864276769,35399773,Team1,20,9,9,16,9,46955
918074721,35399773,Team1,11,7,6,20,5,49450
1090618511,35399773,Team0,16,10,6,18,4,44637
125572877,35399773,Team1,3,7,9,7,6,43854
64864455,35399773,Team1,35,5,9,17,4,44819
83528103,35399809,Team0,19,6,8,11,6,34922
245677312,35399809,Team1,10,5,6,10,3,39719
188441304,35399809,Team1,7,12,5,11,9,44353
112724001,35399809,Team1,25,20,6,12,6,50569
289932444,35399809,Team1,15,8,5,6,3,42816
354117290,35399809,Team1,20,4,18,19,0,32054
1012333396,35399809,Team0,13,15,9,7,19,48608
159394341,35399809,Team0,4,6,9,10,4,38310
1272586127,35399809,Team1,31,10,11,14,3,40112
123221531,35399809,Team0,17,9,10,10,9,35337
1551899522,35399809,Team0,16,3,8,11,10,32064
140062687,35399809,Team0,6,12,15,11,5,38363
1555744383,35399989,Team1,1,6,10,5,4,25209
1110203230,35399989,Team1,50,11,7,3,12,29957
1868839452,35399989,Team0,19,13,5,10,3,44488
102900749,35399989,Team1,18,3,11,8,7,25513
188859483,35399989,Team1,6,8,8,6,8,37205
1250845755,35399989,Team0,27,6,7,5,2,32095
1876171812,35399989,Team0,14,4,7,11,2,31512
339976259,35399989,Team0,52,7,8,9,3,31048
236599146,35399989,Team0,13,23,3,13,15,48004
16435195,35399989,Team1,15,2,14,8,6,22014
1154923600,35399989,Team1,20,2,6,1,5,28363
352231929,35399989,Team0,11,2,2,28,12,32793
165560339,35400121,Team0,20,11,5,23,15,49763
241312861,35400121,Team1,6,2,11,8,8,33929
128710540,35400121,Team0,31,15,2,13,9,46237
271562520,35400121,Team1,7,4,7,11,11,41114
165731303,35400121,Team1,4,8,11,11,2,33753
395566021,35400121,Team1,58,13,11,8,13,45898
243119652,35400121,Team1,27,9,9,12,2,36184
205887990,35400121,Team0,10,8,6,28,8,44181
472792201,35400121,Team0,12,7,8,27,4,37864
431318722,35400121,Team0,2,13,10,20,6,43724
97506421,35400121,Team0,13,8,9,15,2,38603
393467885,35400121,Team1,15,4,13,13,0,31880
137322787,35400320,Team0,15,11,2,5,5,31983
1608175445,35400320,Team1,18,2,9,4,14,23928
1871021649,35400320,Team0,35,8,3,9,3,33321
7910302,35400320,Team1,7,2,4,2,4,26347
1793394547,35400320,Team1,52,4,8,2,5,22331
32303130,35400320,Team1,17,2,5,3,4,25658
83326473,35400320,Team0,1,1,3,13,11,25282
215398243,35400320,Team1,31,6,5,10,13,23561
84379844,35400320,Team0,4,9,0,10,10,37300
86205318,35400320,Team0,20,0,7,8,0,25255
220040449,35400320,Team0,25,8,5,4,17,26602
898514158,35400320,Team1,27,4,7,8,3,25468
181577898,35400587,Team1,7,3,3,9,2,33697
1847933347,35400587,Team0,58,3,5,1,6,30570
897208144,35400587,Team0,31,0,7,5,3,25841
244503960,35400587,Team0,13,2,7,2,9,23478
1090618511,35400587,Team1,4,8,1,9,4,36169
924812291,35400587,Team1,25,12,3,5,4,40924
1290026148,35400587,Team1,16,7,3,12,8,32153
1863594653,35400587,Team1,10,5,5,9,12,31612
1864276769,35400587,Team1,18,2,2,14,2,33302
206767141,35400587,Team0,19,3,6,4,9,26759
1699645102,35400587,Team0,15,4,9,2,10,24049
900146858,35400587,Team0,17,5,3,6,17,26911
435663650,35400619,Team0,7,2,5,1,3,18451
