account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win
1924441699,38707530,Team0,19,9,2,14,1,30541,Team0,Y
124024173,38707530,Team0,15,7,6,21,2,28034,Team0,Y
1048356191,38707530,Team1,2,5,4,5,4,23268,Team0,N
381952778,38707530,Team1,31,2,9,2,6,20278,Team0,N
1395432137,38707530,Team1,27,3,7,3,1,21881,Team0,N
1902828658,38707530,Team0,25,10,4,11,3,28896,Team0,Y
1482595800,38707530,Team1,11,1,10,5,2,20134,Team0,N
1176357514,38707530,Team0,13,3,5,15,4,28034,Team0,Y
192227354,38707530,Team0,52,10,3,12,4,29669,Team0,Y
1730032433,38707530,Team0,14,4,2,13,6,28332,Team0,Y
1807540716,38707530,Team1,58,5,5,5,0,22170,Team0,N
1837991471,38707530,Team1,7,3,8,3,2,22338,Team0,N
173322536,38707625,Team0,31,4,6,10,1,40000,Team1,N
1801488253,38707625,Team0,2,4,8,18,1,30552,Team1,N
880879950,38707625,Team1,25,7,4,19,0,39934,Team1,Y
456104736,38707625,Team1,13,7,6,11,0,41354,Team1,Y
25766064,38707625,Team1,20,2,7,14,1,38622,Team1,Y
1118515282,38707625,Team1,7,7,3,18,0,42280,Team1,Y
168805287,38707625,Team1,12,3,3,16,5,42987,Team1,Y
1914755214,38707625,Team0,60,6,3,12,1,36615,Team1,N
145596499,38707625,Team1,19,12,7,9,2,38541,Team1,Y
1906130552,38707625,Team0,50,5,9,11,0,34496,Team1,N
1907568183,38707625,Team0,58,4,6,10,1,34862,Team1,N
1067915524,38707625,Team0,6,7,6,7,1,34136,Team1,N
1423690634,38707818,Team0,6,4,4,11,0,34228,Team0,Y
1255354474,38707818,Team1,60,5,6,12,4,36105,Team0,N
1548096050,38707818,Team1,12,13,6,11,0,46647,Team0,N
202835210,38707818,Team1,25,1,7,10,2,35135,Team0,N
1610906733,38707818,Team1,14,10,7,17,0,40520,Team0,N
133417332,38707818,Team0,13,4,8,8,1,29213,Team0,Y
195071239,38707818,Team1,10,8,7,12,3,36273,Team0,N
1739228765,38707818,Team0,7,3,7,6,4,30266,Team0,Y
298155885,38707818,Team0,52,8,5,13,0,40944,Team0,Y
130143991,38707818,Team0,31,10,10,6,1,34007,Team0,Y
1698289940,38707818,Team1,15,3,4,13,1,34809,Team0,N
201404511,38707818,Team0,1,8,6,13,2,37560,Team0,Y
447351206,38707829,Team0,4,4,4,16,1,26671,Team0,Y
896909867,38707829,Team1,12,2,6,4,1,16766,Team0,N
108815945,38707829,Team0,52,8,4,12,1,28025,Team0,Y
1926422616,38707829,Team0,6,2,2,20,4,27170,Team0,Y
66649287,38707829,Team0,7,14,2,12,8,32749,Team0,Y
302685578,38707829,Team1,3,0,8,6,1,16848,Team0,N
475936398,38707829,Team0,2,4,2,13,0,28409,Team0,Y
1273149256,38707829,Team1,13,2,6,3,4,20854,Team0,N
1807540716,38707829,Team1,58,4,4,1,1,24136,Team0,N
1924441699,38707829,Team0,19,9,1,14,3,27235,Team0,Y
387885975,38707829,Team1,1,2,11,2,0,20067,Team0,N
1902828658,38707829,Team1,25,4,6,1,2,22577,Team0,N
381952778,38707893,Team1,31,4,10,12,0,42687,Team1,Y
1482595800,38707893,Team1,11,3,4,19,8,40731,Team1,Y
393467885,38707893,Team0,12,4,6,17,1,29882,Team1,N
1730032433,38707893,Team0,14,6,0,9,1,42786,Team1,N
395566021,38707893,Team0,52,13,7,8,5,44607,Team1,N
1773696253,38707893,Team0,13,4,8,11,3,41195,Team1,N
1395432137,38707893,Team1,27,3,5,12,3,36303,Team1,Y
861470542,38707893,Team0,19,4,5,7,0,31190,Team1,N
1048356191,38707893,Team1,2,6,3,12,3,44959,Team1,Y
124024173,38707893,Team1,15,11,9,11,1,37555,Team1,Y
192227354,38707893,Team0,17,3,6,8,4,31190,Team1,N
1837991471,38707893,Team1,1,5,3,14,2,47515,Team1,Y
1895769361,38708129,Team0,7,2,3,8,1,29738,Team0,Y
1118515282,38708129,Team1,31,3,6,8,1,23272,Team0,N
1857189550,38708129,Team0,15,1,8,8,3,25535,Team0,Y
9398369,38708129,Team1,14,8,5,6,3,28651,Team0,N
1857173892,38708129,Team1,12,4,5,9,0,24323,Team0,N
1150269374,38708129,Team0,3,7,1,17,3,32505,Team0,Y
1115796992,38708129,Team0,18,4,6,6,3,30692,Team0,Y
924969004,38708129,Team1,10,3,1,9,1,32088,Team0,N
1855172408,38708129,Team0,27,8,4,16,3,35178,Team0,Y
168805287,38708129,Team1,8,2,10,7,4,23172,Team0,N
241312861,38708129,Team0,19,14,3,6,2,37127,Team0,Y
1902828658,38708129,Team1,25,5,9,5,2,25442,Team0,N
