,match_id,team_0_win,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_q25_diff,p_total_time_played_median_diff,p_total_time_played_q75_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_q25_diff,ph_wins_median_diff,ph_wins_q75_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_q25_diff,ph_kills_median_diff,ph_kills_q75_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_q25_diff,ph_deaths_median_diff,ph_deaths_q75_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_q25_diff,ph_assists_median_diff,ph_assists_q75_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_q25_diff,ph_damage_per_min_median_diff,ph_damage_per_min_q75_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_q25_diff,ph_time_played_median_diff,ph_time_played_q75_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_q25_diff,ph_total_kd_median_diff,ph_total_kd_q75_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_q25_diff,ph_kd_ratio_median_diff,ph_kd_ratio_q75_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_q25_diff,ph_time_played_ratio_median_diff,ph_time_played_ratio_q75_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_q25_diff,ph_damage_per_min_ratio_median_diff,ph_damage_per_min_ratio_q75_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_q25_diff,ph_assists_ratio_median_diff,ph_assists_ratio_q75_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_q25_diff,ph_win_rate_ratio_median_diff,ph_win_rate_ratio_q75_diff
0,38648445,Y,-82317,-714954,-63787.25,-15897.5,28579.75,-10,352,-0.75,27.5,40.75,-131,4417,17.75,355.0,383.25,-88,4720,81.5,176.0,201.5,-177,7987,32.75,506.5,801.75,-1.313,170.688,-36.86,-28.047,-34.907,-31730,1324140,12513.75,102692.5,158330.0,-0.075,2.839,-0.376,-0.302,-0.098,-0.219,-0.045,-0.046,0.162,0.039,-0.376,16.384,0.081,1.019,4.922,-0.047,0.185,0.043,-0.013,-0.104,-0.343,17.151,0.078,0.957,4.969,-0.006,0.538,0.004,-0.113,-0.146
1,38648734,Y,47902,446956,962662.25,991897.5,655119.25,16,-8,-35.75,-1.0,30.75,80,225,-741.75,732.0,2502.75,-2,-876,-134.75,-82.0,197.25,250,852,-486.5,-87.0,-528.25,-49.333,-71.576,-4.174,44.063,156.844,24361,85131,-95610.75,140.5,1793.0,-0.22,0.555,0.578,0.503,-0.016,-0.256,-0.059,-0.016,-0.156,-0.116,0.157,-6.409,-0.618,-3.108,-8.433,0.118,-0.02,-0.061,-0.077,0.054,0.441,-6.585,-1.115,-2.702,-7.955,0.548,0.011,0.062,0.02,0.015
2,38648877,N,119570,2154940,-425985.25,-365769.0,-151904.0,-5,-166,-15.75,-38.0,-405.25,-64,-2449,-157.25,-532.0,-4341.75,-66,-4702,-77.25,-298.0,-3298.25,-101,-768,-299.75,-580.5,-6811.0,-20.079,208.633,155.304,97.415,122.658,-12011,-742577,-34574.25,-106086.5,-1304278.75,-0.668,0.706,0.108,0.243,0.399,-0.133,0.642,-0.127,-0.164,0.134,-0.166,-13.985,-0.006,-1.123,-12.78,0.186,0.208,0.153,0.164,0.282,-0.234,-12.813,-0.275,-1.402,-13.83,-0.127,0.116,-0.023,-0.057,0.028
3,38649032,N,197434,-1635950,-526148.25,-312911.5,-392193.5,-1,-263,-7.75,16.5,-250.25,-8,-4698,-77.75,277.5,-4199.5,-34,-2475,-3.75,211.5,-2408.25,-79,-6836,-32.0,263.0,-5479.5,58.629,21.423,55.067,32.759,44.69,-11216,-792367,-6472.0,62475.0,-919330.25,0.083,-0.446,-0.387,-0.272,-0.167,0.057,-0.676,0.036,-0.049,0.178,-0.071,-8.911,-0.139,0.501,-6.416,-0.02,0.014,0.073,0.052,0.032,-0.125,-10.065,-0.157,0.386,-6.454,-0.188,-0.114,0.013,-0.014,-0.075
4,38649125,N,197654,-873113,333224.75,-448923.0,-527019.5,-13,-122,35.75,55.5,58.0,-54,-11978,231.75,-45.5,-1260.25,-286,-4575,211.25,583.5,561.25,-289,-2519,981.25,2272.0,2352.25,-438.637,-18.862,-327.312,-181.672,-79.649,-91285,-405379,130895.25,235415.0,195413.5,-0.489,0.308,-0.507,-0.375,-0.039,-0.077,0.259,0.055,0.112,0.372,-0.563,12.815,2.295,3.528,4.282,-0.305,-0.057,-0.145,-0.072,-0.111,-0.454,4.199,2.505,3.754,3.974,0.069,0.108,-0.018,0.051,0.033
5,38649416,N,524051,2811712,-62467.5,249379.0,1193201.75,28,250,40.0,78.0,58.25,315,1437,660.5,749.5,4.5,152,2174,555.75,580.0,1407.5,422,5084,1004.75,1894.0,1626.75,-24.93,-60.748,-46.43,-175.354,-159.548,62298,872513,178616.5,247334.0,101373.0,0.341,-1.213,0.231,-0.063,-0.382,0.356,-1.321,0.201,-0.142,-0.361,0.877,10.741,1.843,1.625,1.852,0.105,-0.176,0.088,-0.147,-0.175,0.99,9.925,1.789,1.821,3.307,-0.093,-0.208,0.04,0.061,0.028
6,38649760,Y,-1151026,-152157,-435201.75,661861.5,-70242.75,5,16,1.0,114.0,-76.75,194,4367,64.25,1278.0,483.25,79,8721,144.0,1062.5,799.75,16,4223,-58.75,1019.0,-4034.5,134.978,6.262,125.137,124.026,127.414,18872,191300,21674.0,349743.0,-451160.0,0.096,0.195,-0.157,-0.217,0.006,0.141,-0.428,0.078,0.125,0.106,0.111,-9.177,0.417,4.054,-4.672,0.14,-0.003,0.183,0.179,0.165,0.047,-2.639,0.432,4.167,-2.484,0.021,-0.339,-0.063,-0.062,-0.028
7,38649994,Y,-566235,-439453,-559477.0,-980408.5,-596452.75,-18,225,-29.25,-28.0,-140.0,-133,3734,-509.0,-405.0,-1083.25,-254,778,-306.5,-256.5,-1901.5,-528,3591,-522.0,-563.5,-4122.5,238.356,247.934,71.544,28.733,125.506,-109519,694331,-109991.5,-66390.0,-595959.5,0.313,0.262,0.201,0.412,0.567,0.028,-0.377,-0.151,-0.244,-0.205,-1.059,-3.575,-1.33,-1.01,-8.427,0.175,0.301,0.076,-0.066,0.026,-0.957,-3.566,-1.17,-1.425,-7.982,0.098,0.23,0.021,0.074,0.167
8,38649996,Y,1079349,101949,830087.75,578154.0,91469.5,25,7,27.0,13.0,9.5,330,1609,293.5,-25.0,-161.25,232,852,322.25,75.5,-1222.75,542,-968,634.75,551.0,1333.5,-237.212,-188.893,-66.841,-53.27,-166.606,84899,254526,106020.25,46075.5,8691.5,-0.184,0.364,-0.049,-0.106,-0.043,0.136,-0.085,0.06,0.053,0.199,1.052,2.201,0.807,0.841,-0.611,-0.253,-0.168,-0.085,-0.166,-0.213,1.071,0.66,0.824,1.15,-0.221,-0.042,0.104,-0.04,0.071,0.088
9,38650514,N,-933606,-1970314,-1374917.25,-1362452.0,-442039.0,-40,237,-36.25,16.0,117.75,-293,3978,-218.25,403.5,1863.75,-328,3221,-273.0,311.0,1183.75,-740,5684,-741.75,675.0,1980.0,296.431,202.148,267.84,91.126,112.106,-132058,688579,-126956.25,92164.0,369226.25,0.517,0.179,0.383,0.162,-0.016,-0.012,-0.226,-0.183,-0.263,-0.12,-1.622,1.779,-1.647,-0.026,2.388,0.109,0.332,0.183,0.2,0.286,-1.392,2.273,-1.55,0.066,3.075,0.024,0.304,0.106,0.058,0.052
10,38650643,Y,-789330,1578899,-265692.0,573313.5,1389850.5,-3,548,-7.75,-11.0,81.75,25,10540,-30.75,-145.5,1026.0,-90,6702,-118.25,-131.5,303.75,-169,9082,-322.75,-185.0,701.25,72.568,-170.703,5.973,34.418,-51.256,-11621,1903049,-50181.75,-16845.0,345982.5,0.655,-0.229,0.407,-0.009,-0.001,0.087,-0.505,-0.078,-0.15,-0.184,-0.361,22.673,-1.149,-0.155,16.178,-0.026,-0.053,0.051,0.037,0.102,-0.479,18.724,-1.286,-0.397,16.41,0.081,0.041,0.027,0.052,0.088
