account_id,p_total_matches_played,p_total_kills,p_total_deaths,p_total_wins,p_total_assists,p_total_time_played,p_avg_kills,p_win_rate
41439,1692,11769,12676,832,20788,3365774,6.955673758865248,0.491725768321513
123031,1691,12800,7714,833,17621,3321641,7.569485511531638,0.4926079243051449
175785,809,6572,5353,434,7852,1618705,8.123609394313968,0.5364647713226205
177618,932,6840,5487,486,8692,1781845,7.339055793991417,0.5214592274678111
182188,1380,10046,6900,697,13955,2719668,7.279710144927536,0.505072463768116
194975,819,3284,5236,447,9806,1683490,4.00976800976801,0.5457875457875457
195783,2480,17689,11028,1225,23015,4931781,7.132661290322581,0.4939516129032258
261830,249,1649,1121,135,2813,451661,6.622489959839357,0.5421686746987951
296209,871,6160,5059,437,7189,1875075,7.072330654420207,0.5017221584385764
314481,756,4685,5307,389,8993,1383418,6.197089947089947,0.5145502645502645
347139,1109,7457,5133,562,12470,2196521,6.724075743913436,0.5067628494138864
417152,695,5754,5907,350,8161,1425889,8.279136690647482,0.5035971223021583
431048,1081,7966,4913,536,9858,2175411,7.369102682701203,0.4958371877890842
439850,838,7939,5445,452,6801,1730268,9.473747016706444,0.5393794749403341
574348,1491,12154,12063,732,14851,2954027,8.151576123407109,0.4909456740442656
611533,1049,6375,5763,527,11350,2156232,6.0772163965681605,0.5023832221163013
684456,757,9552,3888,393,8074,1554331,12.618229854689565,0.5191545574636723
889321,247,2487,1692,129,2919,497562,10.068825910931174,0.5222672064777328
956141,1055,8247,4966,541,9896,2187498,7.817061611374408,0.5127962085308057
1009123,779,5502,3727,427,8527,1514327,7.062901155327343,0.5481386392811296
1049955,604,4063,2821,338,6555,1111110,6.72682119205298,0.5596026490066225
1089780,1460,10357,6630,737,13820,2850668,7.093835616438356,0.5047945205479452
1540429,826,7292,3755,482,7151,1665914,8.828087167070217,0.5835351089588378
1691018,164,1117,762,103,1355,321405,6.810975609756097,0.6280487804878049
1923730,651,3777,2914,342,6715,1430494,5.8018433179723505,0.5253456221198156
2088492,634,3899,3177,318,6322,1276747,6.149842271293376,0.501577287066246
2392276,664,4630,3313,329,7461,1349569,6.97289156626506,0.4954819277108434
2487468,707,6520,5515,354,6613,1383990,9.222065063649222,0.5007072135785007
2535504,1446,19679,7906,833,14591,2837198,13.60926694329184,0.5760719225449515
2638598,101,806,332,82,1079,169280,7.98019801980198,0.8118811881188119
